地域階層,オリジナル地域コード,地域（区市町村階層以上）,町・大字名,丁目・字名,地域名称,総数／事業所数（事業所）,総数／従業者数（人）,開設時期／昭和59年以前／事業所数（事業所）,開設時期／昭和59年以前／従業者数（人）,開設時期／昭和60年～平成６年／事業所数（事業所）,開設時期／昭和60年～平成６年／従業者数（人）,開設時期／平成７年～平成16年／事業所数（事業所）,開設時期／平成７年～平成16年／従業者数（人）,開設時期／平成17年／事業所数（事業所）,開設時期／平成17年／従業者数（人）,開設時期／平成18年／事業所数（事業所）,開設時期／平成18年／従業者数（人）,開設時期／平成19年／事業所数（事業所）,開設時期／平成19年／従業者数（人）,開設時期／平成20年／事業所数（事業所）,開設時期／平成20年／従業者数（人）,開設時期／平成21年／事業所数（事業所）,開設時期／平成21年／従業者数（人）,開設時期／平成22年／事業所数（事業所）,開設時期／平成22年／従業者数（人）,開設時期／平成23年／事業所数（事業所）,開設時期／平成23年／従業者数（人）,開設時期／平成24年／事業所数（事業所）,開設時期／平成24年／従業者数（人）,開設時期／平成25年／事業所数（事業所）,開設時期／平成25年／従業者数（人）,開設時期／平成26年／事業所数（事業所）,開設時期／平成26年／従業者数（人）,開設時期／平成27年／事業所数（事業所）,開設時期／平成27年／従業者数（人）,開設時期／平成28年／事業所数（事業所）,開設時期／平成28年／従業者数（人）,開設時期／不詳／事業所数（事業所）,開設時期／不詳／従業者数（人）
3,1310100700,千代田区,隼町,,隼町,81,1168,19,516,5,19,26,336,7,148,3,14,4,26,1,1,4,17,-,-,4,22,1,1,2,4,2,51,-,-,1,7,2,6
3,1310100800,千代田区,平河町,,平河町,524,13062,131,4262,64,852,135,2794,15,300,17,109,13,158,9,70,12,40,18,1779,32,708,22,180,13,205,7,29,7,1376,7,85,22,115
4,1310100801,千代田区,平河町,平河町１丁目,平河町１丁目,187,2456,46,834,26,206,44,843,6,118,10,39,4,24,6,36,2,9,3,15,5,19,12,50,6,182,6,25,-,-,-,-,11,56
4,1310100802,千代田区,平河町,平河町２丁目,平河町２丁目,337,10606,85,3428,38,646,91,1951,9,182,7,70,9,134,3,34,10,31,15,1764,27,689,10,130,7,23,1,4,7,1376,7,85,11,59
3,1310100900,千代田区,麹町,,麹町,1292,26428,239,5485,181,4305,336,8456,40,523,47,447,39,473,48,1073,40,545,45,571,59,579,47,1380,45,971,42,543,28,603,8,61,48,413
4,1310100901,千代田区,麹町,麹町１丁目,麹町１丁目,293,6880,60,2655,64,1862,79,1419,6,19,12,134,4,58,10,153,7,29,4,25,15,164,3,92,4,35,11,106,7,68,-,-,7,61
4,1310100902,千代田区,麹町,麹町２丁目,麹町２丁目,216,4050,42,942,24,490,51,650,10,124,9,63,7,72,7,189,7,43,9,119,13,69,15,796,3,17,6,28,2,324,1,4,10,120
4,1310100903,千代田区,麹町,麹町３丁目,麹町３丁目,337,4999,54,749,39,589,103,1762,9,164,12,87,11,76,12,168,7,45,13,245,13,209,12,83,14,469,12,154,7,57,-,-,19,142
4,1310100904,千代田区,麹町,麹町４丁目,麹町４丁目,270,3844,57,803,44,1252,54,420,9,95,7,51,8,93,8,33,10,294,13,62,7,59,9,129,13,143,8,173,9,117,5,45,9,75
4,1310100905,千代田区,麹町,麹町５丁目,麹町５丁目,129,6214,16,278,5,25,36,4095,5,82,6,106,8,167,9,509,8,130,4,101,7,48,7,280,9,292,3,49,3,37,2,12,1,3
