４　荷役機械月別利用実績,,,,,,,,,,,,,,
,,,,,,,,,,,,,,（単位：時間）
施設別,,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
品川ふ頭,,,,,,,,,,,,,,
ｶﾞﾝﾄﾘｰｸﾚｰﾝ,4基,"8,429",686,664,644,672,684,688,650,678,764,766,800,733
中央防波堤内側ばら物ふ頭,,,,,,,,,,,,,,
ｱﾝﾛｰﾀﾞｰ　　　,2基,"64,020","6,150","2,120","2,160","19,770","2,720","2,200","6,450","9,290","1,770","7,940","2,080","1,370"
ﾍﾞﾙﾄｺﾝﾍﾞｱｰ　,1基,,,,,,,,,,,,,
青海コンテナふ頭,,,,,,,,,,,,,,
ｶﾞﾝﾄﾘｰｸﾚｰﾝ,12基,"29,908","2,345","2,265","2,362","2,765","2,694","2,377","2,349","2,488","2,480","2,582","2,583","2,620"
大井コンテナふ頭,,,,,,,,,,,,,,
ｶﾞﾝﾄﾘｰｸﾚｰﾝ,20基,"44,420","3,765","3,793","3,823","3,766","3,598","3,391","3,474","3,584","3,662","3,863","3,880","3,821"
