年度,Fiscal year,開館日数 Number of open days,企画展 Special exhibition／展覧会数 Number of exhibitions,企画展 Special exhibition／観覧人員 Visitors,公募展 Public exhibition／展覧会数 Number of exhibitions,公募展 Public exhibition／観覧人員 Visitors,収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書 Books,収蔵品数(年度末) Number of collection items (end of fiscal year)／カタログ Catalogs,収蔵品数(年度末) Number of collection items (end of fiscal year)／雑誌 Periodicals 1),収蔵品数(年度末) Number of collection items (end of fiscal year)／紀要・年報 Annual reports and bulletins
平成24,2012,305,10,1092175,69,1259966,129132,36267,90044,1950,871
平成25,2013,302,10,822815,69,1205249,133060,37421,92766,2873,…
平成26,2014,304,9,1426433,69,1193917,138979,39749,96320,2910,…
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-11  国立博物館及び美術館 (4) 国立新美術館  (平成24～26年度) 17-11  NATIONAL MUSEUM (4) THE NATIONAL ART CENTER， TOKYO ( Fiscal Years 2012-2014 ),,,,,,,,,,,
注 1) 「雑誌」数はタイトル数である。平成25年度から「紀要・年報」を含む。,,,,,,,,,,,
Note: 1) The number of periodical titles. From FY2013 onwards， figures also include annual reports and bulletins.,,,,,,,,,,,
資料：国立新美術館 Source: The National Art Center， Tokyo  ,,,,,,,,,,,
