地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／新生活運動 New Community Practices,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,837,10129,6581,293,264,1606,136,1111,3171,203,525,249,131,252,90,1180,708,47,10,153
1,13100,,区部,All ku,418,5221,3487,98,98,1271,69,718,1233,106,197,116,81,165,16,699,241,38,7,68
2,13101,1,千代田区,Chiyoda-ku,9,36,16,-,-,3,-,2,11,-,12,5,2,-,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,163,148,12,-,65,-,-,71,3,3,-,1,2,-,2,2,-,-,2
2,13103,3,港区,Minato-ku,11,85,69,-,7,25,1,1,35,-,7,4,-,-,-,-,3,-,-,2
2,13104,4,新宿区,Shinjuku-ku,22,168,125,-,1,102,1,3,18,1,18,8,12,-,-,-,-,-,-,4
2,13105,5,文京区,Bunkyo-ku,20,168,139,1,-,2,-,13,123,1,5,-,1,5,12,5,-,-,-,-
2,13106,6,台東区,Taito-ku,20,205,133,5,4,55,-,8,61,14,8,7,1,7,1,30,-,1,-,3
2,13107,7,墨田区,Sumida-ku,9,76,34,-,-,26,-,1,7,2,2,4,1,1,-,9,9,7,-,7
2,13108,8,江東区,Koto-ku,16,170,136,-,9,5,8,99,15,10,3,8,1,-,-,2,-,10,-,-
2,13109,9,品川区,Shinagawa-ku,18,574,528,69,-,455,-,4,-,3,14,5,3,-,-,10,8,-,-,3
2,13110,10,目黒区,Meguro-ku,19,87,41,-,1,10,3,6,21,3,6,1,3,1,-,3,24,-,-,5
2,13111,11,大田区,Ota-ku,20,158,86,-,9,42,2,-,33,10,33,4,4,-,-,2,7,3,7,2
2,13112,12,世田谷区,Setagaya-ku,29,435,229,5,1,102,4,12,105,13,28,7,3,145,-,3,4,1,-,2
2,13113,13,渋谷区,Shibuya-ku,23,60,22,-,-,-,-,13,9,-,1,5,2,-,-,5,24,-,-,1
2,13114,14,中野区,Nakano-ku,12,69,11,3,8,-,-,-,-,-,-,1,2,-,-,46,6,-,-,3
2,13115,15,杉並区,Suginami-ku,21,130,57,-,-,17,3,-,37,-,-,-,1,-,-,9,58,-,-,5
2,13116,16,豊島区,Toshima-ku,16,320,201,-,23,17,19,-,142,7,1,5,1,-,-,99,1,-,-,5
2,13117,17,北区,Kita-ku,19,233,197,1,-,12,5,21,158,4,1,23,1,-,-,-,7,-,-,-
2,13118,18,荒川区,Arakawa-ku,13,86,42,-,2,6,-,5,29,2,6,3,1,-,1,9,16,1,-,5
2,13119,19,板橋区,Itabashi-ku,21,463,360,-,7,82,7,18,246,6,31,10,5,1,-,1,41,3,-,5
2,13120,20,練馬区,Nerima-ku,24,641,583,2,3,64,7,504,3,6,6,2,4,2,2,12,13,10,-,1
2,13121,21,足立区,Adachi-ku,34,267,226,-,11,181,6,1,27,16,6,3,-,-,-,-,10,2,-,4
2,13122,22,葛飾区,Katsushika-ku,19,194,92,-,-,-,3,7,82,1,5,2,31,-,-,52,6,-,-,5
2,13123,23,江戸川区,Edogawa-ku,14,433,12,-,12,-,-,-,-,4,1,9,1,1,-,400,2,-,-,3
1,13200,,市部,All shi,372,4729,3017,190,146,335,64,373,1909,94,288,126,50,76,73,455,459,9,3,79
2,13201,1,八王子市,Hachioji-shi,15,805,618,60,11,41,13,13,480,-,13,5,-,-,52,7,110,-,-,-
2,13202,2,立川市,Tachikawa-shi,29,290,213,9,77,22,-,20,85,11,28,2,1,5,-,10,7,5,-,8
2,13203,3,武蔵野市,Musashino-shi,4,115,79,2,-,3,5,16,53,-,2,5,1,-,1,27,-,-,-,-
2,13204,4,三鷹市,Mitaka-shi,10,99,75,14,-,2,-,10,49,3,6,8,1,-,-,5,-,-,-,1
2,13205,5,青梅市,Ome-shi,18,191,128,1,1,15,-,35,76,1,2,2,-,-,2,28,23,-,-,5
2,13206,6,府中市,Fuchu-shi,30,648,540,-,-,47,-,37,456,1,4,6,2,54,-,14,22,-,-,5
2,13207,7,昭島市,Akishima-shi,19,88,31,4,-,10,-,5,12,16,22,4,1,1,1,8,-,-,2,2
2,13208,8,調布市,Chofu-shi,21,304,168,16,-,40,9,26,77,3,29,6,3,-,2,41,49,-,-,3
2,13209,9,町田市,Machida-shi,19,252,168,9,3,17,5,51,83,-,17,17,1,-,-,6,40,-,-,3
2,13210,10,小金井市,Koganei-shi,14,140,101,5,-,28,5,11,52,1,10,3,2,-,2,10,4,-,-,7
2,13211,11,小平市,Kodaira-shi,24,167,105,12,14,13,-,10,56,4,21,1,1,2,1,25,2,2,1,2
2,13212,12,日野市,Hino-shi,14,166,105,9,-,25,-,16,55,2,6,6,3,-,-,11,33,-,-,-
2,13213,13,東村山市,Higashimurayama-shi,13,119,23,2,-,-,1,3,17,2,6,-,-,3,-,12,70,-,-,3
2,13214,14,国分寺市,Kokubunji-shi,17,151,107,-,-,16,1,11,79,5,17,4,3,-,-,13,-,2,-,-
2,13215,15,国立市,Kunitachi-shi,10,119,51,2,2,-,12,2,33,-,2,18,10,1,2,7,20,-,-,8
2,13218,16,福生市,Fussa-shi,13,134,71,5,10,3,-,8,45,18,14,2,1,-,-,23,4,-,-,1
2,13219,17,狛江市,Komae-shi,3,49,29,4,6,-,1,5,13,-,4,3,1,-,4,5,-,-,-,3
2,13220,18,東大和市,Higashiyamato-shi,9,103,37,3,-,8,4,6,16,6,19,-,1,-,-,20,19,-,-,1
2,13221,19,清瀬市,Kiyose-shi,10,92,48,13,9,-,-,1,25,1,11,1,-,3,1,7,19,-,-,1
2,13222,20,東久留米市,Higashikurume-shi,6,31,7,-,-,3,-,-,4,1,2,5,2,-,-,14,-,-,-,-
2,13223,21,武蔵村山市,Musashimurayama-shi,5,32,6,2,-,1,-,-,3,1,1,5,2,-,-,1,9,-,-,7
2,13224,22,多摩市,Tama-shi,15,96,56,4,-,20,1,7,24,1,21,3,2,-,-,6,-,-,-,7
2,13225,23,稲城市,Inagi-shi,11,56,27,6,1,8,-,-,12,6,7,2,2,3,1,6,-,-,-,2
2,13227,24,羽村市,Hamura-shi,8,62,27,1,-,5,-,3,18,-,2,-,1,4,1,4,20,-,-,3
2,13228,25,あきる野市,Akiruno-shi,22,142,23,2,-,2,-,4,15,11,9,8,1,-,-,78,8,-,-,4
2,13229,26,西東京市,Nishitokyo-shi,13,278,174,5,12,6,7,73,71,-,13,10,8,-,3,67,-,-,-,3
1,13300,,郡部,All gun,21,99,29,5,-,-,1,5,18,3,20,5,-,5,1,25,7,-,-,4
2,13303,1,瑞穂町,Mizuho-machi,9,42,12,5,-,-,1,1,5,3,8,4,-,2,-,5,7,-,-,1
2,13305,2,日の出町,Hinode-machi,5,19,10,-,-,-,-,-,10,-,5,-,-,2,-,-,-,-,-,2
2,13307,3,檜原村,Hinohara-mura,2,6,3,-,-,-,-,2,1,-,2,1,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,32,4,-,-,-,-,2,2,-,5,-,-,1,1,20,-,-,-,1
1,13350,,島部,All islands,26,80,48,-,20,-,2,15,11,-,20,2,-,6,-,1,1,-,-,2
2,13361,1,大島町,Oshima-machi,7,9,-,-,-,-,-,-,-,-,2,1,-,6,-,-,-,-,-,-
2,13362,2,利島村,Toshima-mura,1,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2,13363,3,新島村,Niijima-mura,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13364,4,神津島村,Kozushima-mura,3,9,-,-,-,-,-,-,-,-,7,-,-,-,-,1,1,-,-,-
2,13381,5,三宅村,Miyake-mura,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13382,6,御蔵島村,Mikurajima-mura,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2,13401,7,八丈町,Hachijo-machi,7,45,42,-,20,-,-,13,9,-,1,-,-,-,-,-,-,-,-,2
2,13402,8,青ヶ島村,Aogashima-mura,1,10,6,-,-,-,2,2,2,-,3,1,-,-,-,-,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (平成25年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2013 ),,,,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，平成26年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2014. ,,,,,,,,,,,,,,,,,,,,,,,,
