男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9,10.7,12.6,14.5,16.6,19.5,23.1,28.6,33.7,37.3,39.9,41.6,37.7,39.2,40.7,42.3
男 ,Male,上体起こし (回) ,Sit-ups (times),,10.8,13.7,15.9,18,19.9,21.9,23.5,27.1,29.2,29.1,30.5,31.1,24.4,24.7,24.5,23.6
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.7,27.3,29.3,31.2,33.5,35.8,37.1,41.1,44.5,45.5,47.5,48.4,42.6,43,43.2,42.8
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.4,30.2,34.1,38.1,41.9,45.1,47.9,50.8,53.4,54.6,56.2,56.7,46.8,47.9,47.9,46.2
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,428.6,393.2,376.7,390.3,378.1,381.3,464.3,475.5,465.5,492
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,16.2,26.4,35.2,43.4,51,58.4,65.6,81.6,88.9,83.5,91.1,91.2,58.2,61.1,61.6,55.6
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10.1,9.6,9.3,8.9,8.6,8,7.6,7.6,7.4,7.3,8,7.9,7.8,8.1
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,111.3,122.9,133.5,142.8,151.7,162.4,174.7,191,205.2,214.2,221.4,225.5,204.1,208.8,210.6,209.5
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.8,11.4,15.2,18.8,22.3,26.1,17.6,20.4,22.9,23.7,25.2,25.9,22.4,22.6,23.2,23.3
女,Female,握力 (kg) ,Grip strength (kg),,8.4,10.1,11.8,13.7,16.1,19.1,21.3,23.4,24.7,25.1,26.1,26.4,24.5,25.1,25.5,26
女,Female,上体起こし (回) ,Sit-ups (times),,10.4,13.2,15.2,17.2,18.6,19.9,20.3,22.8,23.9,22.8,23.3,23.3,17.6,17.6,17.6,16.2
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.3,30.5,32.9,35.1,38.1,40.9,41.7,43.8,45.6,45.6,46.2,46.7,41.5,42.5,42.3,41.3
女,Female,反復横とび (点) ,Side step (points)　　,,25.3,28.9,32.4,36.3,39.6,42.1,44.1,45.3,45.9,46.6,47.2,47.3,40,40.7,40.5,38.1
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,307.4,291.8,294.6,309.1,309.1,311.8,381.7,379.6,369.4,393.5
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,13.5,20,25.6,32.6,38.8,44,47.2,54.7,55.7,48.7,53.3,52.6,29.9,32.2,33.4,28.4
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.4,9.9,9.5,9.2,9.1,8.9,8.8,8.9,8.9,9,9.5,9.7,9.7,10.1
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,104,115.2,125.7,135.3,144.5,152.6,159.1,163.8,166,167.3,169.6,169.1,150.7,150.1,151.7,147.5
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.3,7.1,9.1,11.1,13.1,14.9,10.9,12.2,13.1,13.2,13.7,14.1,11.6,11.8,12.1,11.8
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成26年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( Fiscal Year 2014 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
