年度,Fiscal year,開園日数 Number of open days,入園人員 Number of visitors／総数 Total,入園人員 Number of visitors／有料 Paid／総数 Total,入園人員 Number of visitors／有料 Paid／普通 General／大人 Adults,入園人員 Number of visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of visitors／無料 Free,入園人員 Number of visitors／1日平均 Daily average
平成24,2012,318,1525555,740864,618189,10297,111423,955,784691,4797
平成25,2013,318,1466508,719123,610013,10165,97984,961,747385,4612
平成26,2014,319,1472108,716431,594088,10250,110716,1377,755677,4615
,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (4) 葛西臨海水族園 (平成24～平成26年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (4) TOKYO SEA LIFE PARK ( Fiscal Years 2012-2014 ),,,,,,,,,,
資料：公益財団法人東京動物園協会葛西臨海水族園 Source: Tokyo Zoological Park Society Tokyo Sea Life Park,,,,,,,,,,
