国公立図書館階層,区分,Classification,館数 Number of libraries,資料費( 平成26年度予算 ) Materials expenditure ( FY2014 budget )( 千円 thousand yen ),蔵書数 Number of books,館外貸出図書点数 (年度中) Number of books lent out ( during the fiscal year )
0,総数,Total,387,6783982,58818588,110619730
1,国立国会図書館,National Diet Library,1,2329875,10534602,54729
2,東京本館,Tokyo Main Library,-,…,6432014,18655
2,国会分館,Detached Library in the Diet,-,…,-,19111
2,関西館,Kansai-kan,-,…,3690136,3474
2,国際子ども図書館,International Library of  Children's Literature,-,…,364520,13489
1,都立,Metropolitan,2,319489,2440257,-
2,中央,Central,1,…,1925640,-
2,多摩,Tama,1,…,514617,-
1,区市町村立,Municipal,384,4134618,45843729,110565001
2,千代田区,Chiyoda-ku,5,79197,506338,943229
2,中央区,Chuo-ku,3,62651,627620,1517960
2,港区,Minato-ku,7,147635,1012790,2405841
2,新宿区,Shinjuku-ku,10,136494,907483,2395887
2,文京区,Bunkyo-ku,10,106204,1127030,4167433
2,台東区,Taito-ku,4,68520,555427,1609626
2,墨田区,Sumida-ku,4,59828,528473,1315074
2,江東区,Koto-ku,10,189080,1507051,4638449
2,品川区,Shinagawa-ku,10,59327,1013402,2925569
2,目黒区,Meguro-ku,8,81515,1160471,4268056
2,大田区,Ota-ku,16,217963,1809572,5486037
2,世田谷区,Setagaya-ku,16,179829,1878162,5818950
2,渋谷区,Shibuya-ku,10,56139,845066,1316741
2,中野区,Nakano-ku,8,76971,978610,2012972
2,杉並区,Suginami-ku,13,196281,2227824,4437049
2,豊島区,Toshima-ku,7,75386,725306,2074694
2,北区,Kita-ku,14,173636,1298446,3740786
2,荒川区,Arakawa-ku,5,80358,715009,1882661
2,板橋区,Itabashi-ku,11,79711,1381414,3278713
2,練馬区,Nerima-ku,13,220782,1717611,6534092
2,足立区,Adachi-ku,15,128642,1695307,3390440
2,葛飾区,Katsushika-ku,12,125860,1263812,3441312
2,江戸川区,Edogawa-ku,12,210921,1455795,5665714
2,八王子市,Hachioji-shi,5,70380,1622458,2714388
2,立川市,Tachikawa-shi,9,74212,892426,1636640
2,武蔵野市,Musashino-shi,3,93402,857679,2322268
2,三鷹市,Mitaka-shi,6,75341,712482,1491079
2,青梅市,Ome-shi,12,42431,591479,956028
2,府中市,Fuchu-shi,13,100000,1417370,2335414
2,昭島市,Akishima-shi,5,33847,418479,683455
2,調布市,Chofu-shi,11,93019,1320145,2724359
2,町田市,Machida-shi,7,56838,1082273,3809170
2,小金井市,Koganei-shi,3,47925,448121,948437
2,小平市,Kodaira-shi,11,57995,1161918,1486861
2,日野市,Hino-shi,7,61611,796032,1631931
2,東村山市,Higashimurayama-shi,5,38317,719596,1100120
2,国分寺市,Kokubunji-shi,6,26688,606460,956006
2,国立市,Kunitachi-shi,2,30120,281696,340648
2,福生市,Fussa-shi,4,24899,430441,624715
2,狛江市,Komae-shi,1,21611,294139,485617
2,東大和市,Higashiyamato-shi,3,35342,465017,733505
2,清瀬市,Kiyose-shi,6,23224,405307,591512
2,東久留米市,Higashikurume-shi,4,36700,457353,912653
2,武蔵村山市,Musashimurayama-shi,2,22125,304060,350212
2,多摩市,Tama-shi,8,56192,758656,1725153
2,稲城市,Inagi-shi,6,41405,596584,1237482
2,羽村市,Hamura-shi,1,18976,383726,346270
2,あきる野市,Akiruno-shi,4,38203,546621,668286
2,西東京市,Nishitokyo-shi,7,68936,797636,2231453
2,瑞穂町,Mizuho-machi,1,15082,210938,114867
2,日の出町,Hinode-machi,1,3744,111842,48034
2,奥多摩町,Okutama-machi,2,3499,75130,21535
2,檜原村,Hinohara-mura,1,2839,38023,15050
2,大島町,Oshima-machi,1,796,37193,7295
2,神津島村,Kozushima-mura,1,2288,11513,8329
2,三宅村,Miyake-mura,1,810,13754,5151
2,八丈町,Hachijo-machi,1,2883,29163,33508
2,青ヶ島村,Aogashima-mura,1,8,10000,285
,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (1) 設立及び地域別施設状況 (平成26年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (1) STATUS OF FACILITIES BY ESTABLISHMENT AND DISTRICT ( End of Fiscal Year 2014 ),,,,,,
1) 国立国会図書館東京本館の蔵書数は国会分館の蔵書数を含む。,,,,,,
2) 国立国会図書館の蔵書数と各施設の蔵書数の合計については一致しない。　 ,,,,,,
3) 都立及び区市町村立の館外貸出図書数は個人への貸出のみ。,,,,,,
Note: 1) The number of books stocked at the Detached Library in the Diet is included in figures for the Tokyo Main Library of the National Diet Library.,,,,,,
2) The number of books stocked at the National Diet Library does not match the combined total of books at the National Diet Library facilities. ,,,,,,
3) The numbers of books loaned at metropolitan and municipal libraries are for loans to individuals only. ,,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
国公立図書館階層(0:総数　1:国立国会図書館・都立・区市町村立　2:東京本館・国会分館・関西館・国際子ども図書館・中央・多摩・区市町村),,,,,,
