年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high／senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成24,2012,0,総数 ,Total,,,4512,1,44,2320005,1204052,1115953,…,146894,…
平成25,2013,0,総数 ,Total,,,4495,1,44,2325159,1203092,1122067,…,147651,…
平成26,2014,0,総数 ,Total,,,4467,1,187,2325709,1201082,1124627,…,149030,…
平成26,2014,0,総数 ,Total,小学校,Elementary schools,1355,-,-,587983,300836,287147,37496,32658,4838
平成26,2014,0,総数 ,Total,中学校,Junior high schools,817,1,91,311841,157836,154005,28763,19491,9272
平成26,2014,0,総数 ,Total,高等学校,Senior high schools,431,-,88,315967,154850,161117,29992,19059,10933
平成26,2014,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,8,6743,3205,3538,681,504,177
平成26,2014,0,総数 ,Total,大学,Colleges and universities,139,-,-,720681,399851,320830,118421,50040,68381
平成26,2014,0,総数 ,Total,短期大学,Junior colleges,43,-,-,15568,1303,14265,3656,919,2737
平成26,2014,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,3430,3041,389,…,265,…
平成26,2014,0,総数 ,Total,特別支援学校,Special needs schools,69,-,-,12591,8142,4449,6504,5931,573
平成26,2014,0,総数 ,Total,幼稚園,Kindergartens,1023,-,-,170673,86604,84069,12577,10772,1805
平成26,2014,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,13,-,-,13159,7097,6062,1034,294,740
平成26,2014,0,総数 ,Total,専修学校,Specialized training schools,409,-,-,144840,67739,77101,23722,7413,16309
平成26,2014,0,総数 ,Total,各種学校,Miscellaneous schools,157,-,-,22233,10578,11655,3218,1684,1534
平成26,2014,1,国立 ,National,総数,Total,41,-,2,86170,56117,30053,…,9158,…
平成26,2014,1,国立 ,National,小学校,Elementary schools,6,-,-,3964,1971,1993,226,175,51
平成26,2014,1,国立 ,National,中学校,Junior high schools,6,-,-,2776,1497,1279,285,137,148
平成26,2014,1,国立 ,National,高等学校,Senior high schools,6,-,-,3323,1891,1432,385,206,179
平成26,2014,1,国立 ,National,中等教育学校,Secondary education schools,2,-,2,1425,641,784,145,96,49
平成26,2014,1,国立 ,National,大学,Colleges and universities,12,-,-,72790,48753,24037,…,8210,…
平成26,2014,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成26,2014,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,1035,914,121,…,80,…
平成26,2014,1,国立 ,National,特別支援学校,Special needs schools,4,-,-,460,271,189,287,227,60
平成26,2014,1,国立 ,National,幼稚園,Kindergartens,2,-,-,359,175,184,34,20,14
平成26,2014,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,-,-,-,-,-,-,-
平成26,2014,1,国立 ,National,専修学校,Specialized training schools,2,-,-,38,4,34,75,7,68
平成26,2014,1,国立 ,National,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成26,2014,1,公立 ,Public,総数,Total,2369,1,32,975261,505805,469456,…,63547,…
平成26,2014,1,公立 ,Public,小学校,Elementary schools,1296,-,-,558337,288356,269981,35401,31038,4363
平成26,2014,1,公立 ,Public,中学校,Junior high schools,623,1,15,233931,122614,111317,19588,15177,4411
平成26,2014,1,公立 ,Public,高等学校,Senior high schools,188,-,11,136898,68535,68363,12420,9427,2993
平成26,2014,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,6,5318,2564,2754,536,408,128
平成26,2014,1,公立 ,Public,大学,Colleges and universities,2,-,-,9540,6217,3323,…,723,…
平成26,2014,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成26,2014,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,1595,1459,136,…,131,…
平成26,2014,1,公立 ,Public,特別支援学校,Special needs schools,61,-,-,11879,7723,4156,6094,5600,494
平成26,2014,1,公立 ,Public,幼稚園,Kindergartens,181,-,-,14065,7303,6762,1115,841,274
平成26,2014,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,-,1537,754,783,85,45,40
平成26,2014,1,公立 ,Public,専修学校,Specialized training schools,8,-,-,2161,280,1881,843,157,686
平成26,2014,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成26,2014,1,私立 ,Private,総数,Total,2057,-,153,1264278,639160,625118,…,76325,…
平成26,2014,1,私立 ,Private,小学校,Elementary schools,53,-,-,25682,10509,15173,1869,1445,424
平成26,2014,1,私立 ,Private,中学校,Junior high schools,188,-,76,75134,33725,41409,8890,4177,4713
平成26,2014,1,私立 ,Private,高等学校,Senior high schools,237,-,77,175746,84424,91322,17187,9426,7761
平成26,2014,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,-,-,-,-,-,-,-
平成26,2014,1,私立 ,Private,大学,Colleges and universities,125,-,-,638351,344881,293470,…,41107,…
平成26,2014,1,私立 ,Private,短期大学,Junior colleges,43,-,-,15568,1303,14265,3656,919,2737
平成26,2014,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,800,668,132,…,54,…
平成26,2014,1,私立 ,Private,特別支援学校,Special needs schools,4,-,-,252,148,104,123,104,19
平成26,2014,1,私立 ,Private,幼稚園,Kindergartens,840,-,-,156249,79126,77123,11428,9911,1517
平成26,2014,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,10,-,-,11622,6343,5279,949,249,700
平成26,2014,1,私立 ,Private,専修学校,Specialized training schools,399,-,-,142641,67455,75186,22804,7249,15555
平成26,2014,1,私立 ,Private,各種学校,Miscellaneous schools,157,-,-,22233,10578,11655,3218,1684,1534
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成24～26年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2012～2014 ),,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本調査報告」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， T.M.G.,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,
