年度,Fiscal year,貸切使用回数 Group use (number of times)／メインプール Main pool(回 times),貸切使用回数 Group use (number of times)／サブプール Sub pool(回 times),貸切使用回数 Group use (number of times)／ダイビングプール Diving pool(回 times),貸切使用回数 Group use (number of times)／会議室 Conference room(回 times),一般公開利用者数 Number of individual users／プール(メイン・サブ・ダイビング)  Pools (Main-Sub-Diving) (人 persons),スポーツ教室等 Sports programs， etc.／回数 Times held(回 times),スポーツ教室等 Sports programs， etc.／人数 Participants(人 persons)
平成24,2012,10499,5899,673,2401,32496,275,7004
平成25,2013,10196,5488,683,2382,19939,254,10367
平成26,2014,15455,8213,893,2949,38965,363,12575
,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS,,,,,,,,
17-17  東京都立体育施設の利用状況 (4) 東京辰巳国際水泳場 (平成24～26年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (4) TOKYO TATSUMI INTERNATIONAL SWIMMING CENTER  ( Fiscal Years 2012-2014 ),,,,,,,,
注 1) 平成24年11月より平成25年8月まで，大規模改修工事に伴い休館。,,,,,,,,
Note: 1) Closed from November 2012 to August 2013 due to renovations.,,,,,,,,
資料：オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,
