年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成24,2012,総数,Total,104071,52403,51668,931,76109,27031
平成25,2013,総数,Total,103446,52017,51429,926,76539,25981
平成26,2014,総数,Total,104787,53007,51780,927,78236,25624
平成26,2014,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,103093,52011,51082,926,76700,25467
平成26,2014,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,96756,48123,48633,925,70550,25281
平成26,2014,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3462,2000,1462,1,3429,32
平成26,2014,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1296,748,548,-,1160,136
平成26,2014,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,1,-,1,-,1,-
平成26,2014,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成26,2014,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成26,2014,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成26,2014,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,473,396,77,-,465,8
平成26,2014,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1105,744,361,-,1095,10
平成26,2014,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
平成26,2014,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),432,244,188,-,398,34
平成26,2014,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,156,82,74,-,155,1
平成26,2014,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,17,16,1,-,17,-
平成26,2014,(E)就職者,(E)Employed,351,274,77,-,350,1
平成26,2014,(F)上記以外の者,(F)Persons other than the above,728,378,350,1,611,116
平成26,2014,(G)不詳・死亡,(G)Unknown or deceased,10,2,8,-,5,5
平成26,2014,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,33,19,14,-,33,-
平成26,2014,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,32,18,14,-,32,-
平成26,2014,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,1,1,-,-,1,-
平成26,2014,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-
平成26,2014,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
平成26,2014,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4024,2788,1236,51,3521,452
,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成24～26年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2012-2014 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」 Source: Bureau of General Affairs， TMG,,,,,,,,,
