地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数 Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,11471,77319530,81,20066204,7948,36243438,2,1761000,6,4130054,38,7903889,3157,2680634,12,3541761,227,992550
1,13100,,区部,All ku,,6011,40598601,48,10170447,4151,17273714,1,67000,-,-,38,7903889,1626,1249235,11,3532662,136,401654
2,13101,1,千代田区,Chiyoda-ku,,53,1702767,1,161637,22,104410,-,-,-,-,-,-,25,7016,5,1429705,-,-
2,13102,2,中央区,Chuo-ku,,91,617637,1,250216,54,326631,-,-,-,-,1,25510,33,11856,-,-,2,3424
2,13103,3,港区,Minato-ku,,117,1404925,4,235658,47,263083,-,-,-,-,3,541119,60,98388,1,263716,2,2962
2,13104,4,新宿区,Shinjuku-ku,,182,1174250,2,215617,176,359029,-,-,-,-,-,-,1,3983,2,593011,1,2609
2,13105,5,文京区,Bunkyo-ku,,116,550754,2,158657,44,201614,-,-,-,-,-,-,69,29696,1,160787,-,-
2,13106,6,台東区,Taito-ku,,76,773985,2,556742,50,193177,-,-,-,-,-,-,24,24065,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,144,781079,3,133593,139,638726,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,305,4280856,6,1139437,166,998164,1,67000,-,-,17,1961159,91,32385,-,-,24,82710
2,13109,9,品川区,Shinagawa-ku,,277,1358914,2,217554,147,509060,-,-,-,-,6,508515,116,121846,-,-,6,1939
2,13110,10,目黒区,Meguro-ku,,130,488307,-,114276,80,348441,-,-,-,-,-,-,49,24900,-,-,1,690
2,13111,11,大田区,Ota-ku,,554,2804860,-,-,501,1987078,-,-,-,-,10,750113,38,59284,-,-,5,8384
2,13112,12,世田谷区,Setagaya-ku,,540,2857522,4,918557,399,1563370,-,-,-,-,-,-,124,132698,1,183991,12,58906
2,13113,13,渋谷区,Shibuya-ku,,128,1639066,1,569028,125,168497,-,-,-,-,-,-,-,-,1,901452,1,88
2,13114,14,中野区,Nakano-ku,,191,418411,-,-,159,387116,-,-,-,-,-,-,28,26281,-,-,4,5013
2,13115,15,杉並区,Suginami-ku,,328,1136689,3,514916,272,588745,-,-,-,-,-,-,50,25717,-,-,3,7311
2,13116,16,豊島区,Toshima-ku,,154,206155,-,-,87,178982,-,-,-,-,-,-,67,27174,-,-,-,-
2,13117,17,北区,Kita-ku,,188,1054595,1,71647,84,873573,-,-,-,-,-,-,95,60424,-,-,8,48951
2,13118,18,荒川区,Arakawa-ku,,110,430853,2,191211,32,139759,-,-,-,-,-,-,74,96485,-,-,2,3398
2,13119,19,板橋区,Itabashi-ku,,357,1954149,2,470816,343,1422519,-,-,-,-,-,-,-,-,-,-,12,60814
2,13120,20,練馬区,Nerima-ku,,670,2080112,4,1059971,441,913061,-,-,-,-,-,-,218,90569,-,-,7,16511
2,13121,21,足立区,Adachi-ku,,512,3231810,3,909136,335,2200767,-,-,-,-,-,-,158,94473,-,-,16,27434
2,13122,22,葛飾区,Katsushika-ku,,322,1936165,1,902239,142,863546,-,-,-,-,-,-,169,151740,-,-,10,18639
2,13123,23,江戸川区,Edogawa-ku,,466,7679981,4,1344780,306,2044364,-,-,-,-,1,4117473,137,130251,-,-,18,43112
0,99999,24,その他,Others,※１,-,34760,-,34760,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,99999,,その他,Others,※２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13200,,市部,All shi,,5339,31025217,32,8723470,3709,18607081,1,1694000,1,108397,-,-,1504,1292274,1,9099,91,590896
2,13201,1,八王子市,Hachioji-shi,,867,6846089,5,1203477,781,5498881,-,-,-,-,-,-,67,72379,-,-,14,71351
