年度,Fiscal year,貸切使用回数Group use (number of times)／大武道場 Large dojo(回 times),貸切使用回数Group use (number of times)／第一武道場 First dojo(回 times),貸切使用回数Group use (number of times)／第二武道場 Second dojo(回 times),貸切使用回数Group use (number of times)／弓道場 Japanese archery range(回 times),一般公開利用者数 Number of individual users／第一武道場 First dojo(人 persons),一般公開利用者数 Number of individual users／第二武道場 Second dojo(人 persons),一般公開利用者数 Number of individual users／弓道場 Japanese archery range(人 persons),一般公開利用者数 Number of individual users／トレーニングルーム Training room(人 persons),スポーツ教室等 Sports programs， etc.／回数 Times held(回 times),スポーツ教室等 Sports programs， etc.／人数 Participants(人 persons)
平成24,2012,1662,780,880,570,570,419,2477,25784,225,14517
平成25,2013,2506,1206,1429,939,1046,565,4498,51052,306,16171
平成26,2014,2542,1229,1460,1045,1323,613,3923,57709,305,12920
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (3) 東京武道館 (平成24～26年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (3) TOKYO BUDO-KAN ( Fiscal Years 2012-2014 ),,,,,,,,,,,
注 1) 平成24年1月より同年8月まで、大規模改修工事に伴い休館。,,,,,,,,,,,
Note: 1) Closed from January to August 2012 due to renovations.,,,,,,,,,,,
資料：オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,
