競技１,競技２,会場
水泳,競泳・飛込・シンクロ,オリンピックアクアティクスセンター
水泳,水球,ウォーターポロアリーナ→東京辰巳国際水泳場
水泳,マラソン１０ｋｍ,お台場海浜公園
バドミントン,,夢の島ユース・プラザ・アリーナＡ→武蔵野の森総合スポーツ施設
ラグビー,,新国立競技場（オリンピックスタジアム）→東京スタジアム
セーリング,,若洲オリンピックマリーナ→江の島ヨットハーバー
トライアスロン,,お台場海浜公園
フェンシング,,東京ビッグサイト・ホールＢ→幕張メッセＢホール
テコンドー,,東京ビッグサイト・ホールＢ→幕張メッセＡホール
レスリング,,東京ビッグサイト・ホールＡ→幕張メッセＡホール
