事項１,事項２,概要,３０年度予算額（百万円）,２９年度予算額（百万円）,２８年度決算額（百万円）
1,スポーツ振興施策の企画調整,スポーツ振興に関する重要事項を調査・審議するスポーツ振興審議会を運営します。また、スポーツ環境の充実・拡大のため、区市町村がスポーツ施設を整備する際に補助を行います,4088,4096,2238
2,体育施設等の整備,東京体育館、駒沢オリンピック公園総合運動場、東京スタジアムなどの都立体育施設等の整備を行います,6021,7320,28257
3,公益財団法人東京都スポーツ文化事業団助成,都と連携して、都民の生涯にわたるスポーツの普及振興を図るため公益財団法人東京都スポーツ文化事業団が行う事業に対して補助を行います,66,62,54
4,スポーツの振興,都民のスポーツ実施率70％という目標達成に向けて、スポーツイベントの開催や様々な世代のスポーツ活動の推進をします,516,664,543
5,ラグビーワールドカップ２０１９開催準備,交通輸送対策や仮設施設・設備の設計など大会に向けた準備を行うとともに、開催１年前イベントなどを通じて大会開催気運を盛り上げていきます,882,629,644
6,体育施設等の運営,東京体育館や駒沢オリンピック公園総合運動場など都立体育施設等の管理運営を行います,3486,2692,2751
7,総合的な競技力向上施策の推進,東京ゆかりのアスリートがオリンピックなどの国際大会で活躍できるよう、アスリートや競技団体に対し、強化練習や大会遠征などの支援を行います,1307,1277,1174
8,マラソン祭りの開催,東京マラソンの開催支援と沿道からランナーを応援するマラソン祭りを行います,310,307,451
9,障害者スポーツの振興,メディアを通じた普及啓発や、身近な地域で障害者スポーツができる場の確保、障害者スポーツを支援する人材の育成などの事業を行います,4587,6427,22553
合計,,,21263,23474,58666
