区分１,区分２,平成３０年度予算額（百万円）,平成２９年度予算額（百万円）,平成２８年度決算額（百万円）
スポーツ振興費,,139430,64668,74941
スポーツ振興費,管理費,9943,7291,5048
スポーツ振興費,オリンピック・パラリンピック準備費,108224,33903,11226
スポーツ振興費,スポーツ推進費,21263,23474,58666
