事項１,事項２,概要,３０年度予算額（百万円）,２９年度予算額（百万円）,２８年度決算額（百万円）
1,開催都市ＰＲ,東京2020オリンピック・パラリンピックフラッグツアーなどを通じて、開催都市である東京の魅力を広く発信します,301,1317,3414
2,大会開催に向けた普及啓発,大会２年前イベントや500日前イベント、マスコットの活用などを通じて、都民一人ひとりの参加意識を高めます,410,382,181
3,大会成功に向けた区市町村支援,区市町村が行うオリンピック・パラリンピックに関する施策を支援するため、スポーツ振興や地域活性化事業に対して補助を行います,427,526,316
4,大会開催を通じた被災地復興支援,東日本大震災等の被災地の姿を収めた映像の作成や被災地を縦断するリレーの実施を通じ、復興の様子をＰＲします,247,276,227
5,多言語対応の推進,多言語対応協議会やフォーラムの開催、ＨＰへの事例掲載などを通じ、表示・標識の多言語対応の推進や先端技術の活用・拡充を促します,42,51,29
6,大会後のレガシーを見据えた都の取組を発信,大会後のレガシーを見据えた都の取組について、都民へわかりやすく発信します,0,27,11
7,ボランティアの気運醸成・育成支援,シンポジウムやＨＰを活用し広く情報発信を行うとともに、ボランティアの募集や選考を実施し、大会に向け体制を整備します,996,266,30
8,オリンピック・パラリンピック開催計画,大会期間中に開催都市として確実な運営を行うため、都市運営やセキュリティ、聖火リレーなど様々な分野における計画の策定を行います,708,428,177
9,オリンピック・パラリンピック施設整備,有明アリーナ、海の森水上競技場、オリンピックアクアティクスセンターをはじめとした都立恒久施設の整備を行います,28945,29598,6394
10,共同実施事業等,東京2020年大会の準備のため、組織委員会が、都、国等の関係者からの役割（経費）分担に応じ負担する資金を使用して実施する事業等に係る経費を計上しています,75334,-,-
11,管理事務費,上記事業に係る事務費,813,1032,448
合計,,,108224,33903,11226
