ステークホルダー,人数オリンピック（人）,人数パラリンピック（人）
選手及びＮＯＣ／ＮＰＣ,18200,8000
　　=-選手,※,※
　　=-チーム役員等,※,※
ＩＦ,2900,1200
　　=-技術役員,※,※
　　=-ＩＦスタッフ等,2900,1200
メディア,25800,9500
　　=-ＯＢＳ,※,※
　　=-ＲＨＢ,※,※
"　　=-新聞記者,フォトグラファー等",25800,9500
オリンピックファミリー／パラリンピックファミリー,調整中,調整中
　　=-ＩＯＣ/ＩＰＣ関係者,※,※
"　　=-ＮＯＣ/ＮＰＣ及びＩＦ会長,専務理事",※,※
　　=-要人等,※,※
マーケティングパートナー,17100,調整中
スタッフ,168000,98000
　　=-有給スタッフ,※,※
　　=-ボランティア,※,※
　　=-委託業者等,※,※
観客（チケット保有者）,7800000,2300000
