競技１,競技２,会場
アーチェリー,,アーチェリー会場（夢の島公園）
陸上競技,,新国立競技場（オリンピックスタジアム）
バスケットボール,,夢の島ユース・プラザ・アリーナＢ→さいたまスーパーアリーナ
ボクシング,,国技館
ボート,,海の森水上競技場
カヌー（スプリント）,,海の森水上競技場
カヌー（スラローム）,,葛西臨海公園→カヌー・スラローム会場
馬術（馬場・障害・総合）,,夢の島競技場→馬事公苑
馬術（クロスカントリー）,,海の森クロスカントリーコース
体操,,有明体操競技場
ゴルフ,,霞ヶ関カンツリー倶楽部
ハンドボール,,国立代々木競技場
ホッケー,,大井ホッケー競技場
柔道,,日本武道館
近代五種,（フェンシング）,武蔵野の森総合スポーツ施設
近代五種,（水泳・馬術・ランニング・射撃）,東京スタジアム
射撃,,陸上自衛隊朝霞訓練場
卓球,,東京体育館
テニス,,有明テニスの森
バレーボール（インドア）,,有明アリーナ
バレーボール（ビーチバレーボール）,,潮風公園
ウェイトリフティング,,東京国際フォーラム
