No.,名称,所在地,面積（㎡),開園年月日,区有地,国有地,都有地,民有地,利用時間等の制限,備考,だれでもトイレ,簡易型だれでもトイレ,ユニットトイレ,緯度,経度
1,駒場一丁目防災緑地,駒場1-14-12,355,H17.3.18,有,,,,,,,,,35.65691501,139.687024
2,上一防災ひろば,上目黒1-17-4,96.92,H19.4.1,有,,,,,,,,,35.64571648,139.6982556
3,合流点遊び場,上目黒1-26先,953.96,S59.4.1,,有,,,,,,,,35.643793,139.700402
4,上目黒四丁目防災ひろば,上目黒4-17-25,449.23,H2.4.1,有,,,,,,,,有,35.64033768,139.6908464
5,目黒不動防災ひろば,下目黒3-10-22,443.13,H23.3.25,有,,,,,,,,,35.6271094,139.7100684
6,ポケットオアシス清水,目黒本町1-6-1,102.97,H5.4.1,有,,,,,,,,,35.62607347,139.6983512
7,碑文谷一丁目遊び場,碑文谷1-17,175.16,S59.9.4,有,,,,,,,,,35.62052,139.690827
8,碑文谷八幡宮児童遊び場,碑文谷3-7,195.97,S45.8.1,,,,有,,,,,,35.617486,139.686125
9,熊野神社児童遊び場,自由が丘1-24,249.5,S45.8.9,,,,有,,,,,,35.609907,139.668623
