産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.5,1.78,1.25,1.67
"鉱業,採石業,砂利採取業",2.47,1.44,2.47,1.44
建設業,1.15,0.97,0.45,0.88
製造業,0.87,1.09,0.75,1.03
電気・ガス・熱供給・水道業,0.4,0.15,0.46,0.17
情報通信業,1.06,1.73,0.78,1.71
"運輸業,郵便業",1.56,1.11,1.67,1.17
"卸売業,小売業",1.39,1.39,0.92,1.3
"金融業,保険業",1.47,1.64,1.3,1.58
"不動産業,物品賃貸業",1.13,1.18,0.86,0.97
"学術研究,専門・技術サービス業",1.75,2,1.97,2.15
"宿泊業,飲食サービス業",3,3.92,2.6,3.56
"生活関連サービス業,娯楽業",1.23,1.89,1.02,1.22
"教育,学習支援業",2.01,2.4,2.25,2.66
"医療,福祉",1.34,1.5,0.95,1.18
複合サービス事業,0.3,0.86,0.03,1.59
サービス業（他に分類されないもの）,1.59,2.12,1.62,2.41
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,
第４表  産業別労働異動率,,,,
