"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","カセット[組]","スライド[組]","16mm[巻]","ビデオ[組]","その他視聴覚","合計"
"みなと","167941","10963","36810","1448","0","13098","1037","19649","1130","7443","0","84","642","1989","3","262237"
"三田","210038","12909","34418","787","754","18247","2852","8448","0","2552","4030","0","0","0","66","295101"
"麻布","111683","8716","22544","594","0","3412","329","3772","0","1530","0","0","0","0","0","152580"
"赤坂","130222","8895","31044","869","0","4989","361","5826","0","1671","0","0","0","0","0","183877"
"高輪","115579","5119","38863","1006","0","4311","421","8748","0","2321","0","0","0","0","0","176368"
"高輪(分室)","890","25335","34357","614","0","784","1018","2031","0","1213","0","0","0","0","0","66242"
"港南","128963","5787","28974","627","0","3950","357","8125","665","2084","0","0","0","0","0","179532"
"合計","865316","77724","227010","5945","754","48791","6375","56599","1795","18814","4030","84","642","1989","69","1315937"

"令和5年度港区行政資料集　図書館別資料所蔵状況","Ver202304",,,,,,,,,,,,,,,
