"区分","統括参事[人]","参事[人]","統括課長[人]","副参事[人]","課長補佐[人]","係長[人]","主査[人]","主任[人]","主事[人]","校・園長[人]","副校・園長[人]","主幹教諭[人]","主任教諭[人]","教諭[人]","計[人]"
"現員合計(1)＋(2)","0","19","21","52","68","325","92","737","728","12","4","4","17","47","2126"
"定数外 自治法上派遣","0","1","0","0","0","1","0","9","3","2","0","0","1","1","18"
"定数外 休職､結核休養","0","0","0","0","0","1","0","9","11","0","0","0","0","0","21"
"定数外 育休､公務災害","0","0","0","0","0","4","0","30","29","0","0","0","3","0","66"
"定数外 派遣法による派遣","0","0","0","2","1","6","0","0","0","0","0","0","0","0","9"
"定数外 派遣交流","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"定数外 配偶者同行休業","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"定数外 計","0","1","0","2","1","12","0","48","44","2","0","0","4","1","115"

"令和3年度港区行政資料集　職員数総括表","Ver202104",,,,,,,,,,,,,,
