,成田,羽田,関西,その他,無回答,合計,標本数
全体,66.8,20.4,9.9,2.1,0.9,100.0,"13,045"
韓国,73.2,23.0,2.4,1.1,0.3,100.0,"1,771"
台湾,79.1,16.4,2.2,1.2,1.0,100.0,"2,059"
中国,46.7,20.7,26.9,4.2,1.5,100.0,"2,665"
香港,76.6,18.1,2.8,1.5,0.9,100.0,802
タイ,77.0,14.8,3.3,4.3,0.6,100.0,700
シンガポール,56.8,31.6,8.3,2.3,0.9,100.0,355
マレーシア,79.1,7.3,12.2,0.8,0.7,100.0,263
米国,74.0,20.0,3.8,1.4,0.7,100.0,"1,298"
カナダ,61.2,31.0,6.0,0.4,1.5,100.0,278
英国,60.5,35.1,3.9,0.0,0.6,100.0,307
ドイツ,55.7,36.8,4.3,2.7,0.5,100.0,212
フランス,51.7,40.9,5.0,1.7,0.7,100.0,300
イタリア,82.1,12.1,4.7,0.0,1.1,100.0,198
スペイン,64.3,18.3,15.4,0.3,1.7,100.0,204
オーストラリア,71.9,19.7,6.7,1.5,0.2,100.0,484
インド,88.8,5.8,3.3,1.3,0.7,100.0,174
インドネシア,54.8,30.9,14.3,0.0,0.0,100.0,251
フィリピン,76.9,15.8,6.4,0.9,0.0,100.0,335
ベトナム,54.1,24.0,14.3,6.0,1.6,100.0,179
ロシア,96.0,2.4,0.5,1.1,0.0,100.0,169
その他,77.1,15.5,7.4,0.0,0.0,100.0,41
