,大変満足,満足,やや満足,普通,やや不満,不満,大変不満,無回答,合計,標本数,,,,,,,,,,,
全体 ,42.7 ,46.6 ,6.0 ,3.8 ,0.3 ,0.1 ,0.1 ,0.4 ,100.0 ,"12,959",,,,,,,,,,,
韓国 ,23.4 ,53.4 ,10.2 ,11.4 ,0.8 ,0.2 ,0.1 ,0.5 ,100.0 ,"1,666",,,,,,,,,,,
台湾,40.1 ,54.1 ,4.1 ,1.3 ,0.1 ,0.0 ,0.0 ,0.4 ,100.0 ,"2,112",,,,,,,,,,,
中国 ,37.7 ,51.3 ,8.0 ,2.5 ,0.2 ,0.0 ,0.0 ,0.3 ,100.0 ,"2,674",,,,,,,,,,,
香港 ,38.3 ,54.9 ,4.9 ,1.4 ,0.4 ,0.0 ,0.0 ,0.1 ,100.0 ,794,,,,,,,,,,,
タイ ,57.4 ,37.5 ,2.0 ,1.8 ,0.0 ,0.0 ,0.1 ,1.3 ,100.0 ,710,,,,,,,,,,,
シンガポール,53.3 ,39.9 ,3.8 ,1.6 ,0.4 ,0.4 ,0.3 ,0.4 ,100.0 ,338,,,,,,,,,,,
マレーシア,50.1 ,40.7 ,5.0 ,2.1 ,0.4 ,1.0 ,0.4 ,0.3 ,100.0 ,289,,,,,,,,,,,
米国,76.7 ,21.0 ,1.1 ,0.5 ,0.1 ,0.1 ,0.1 ,0.4 ,100.0 ,"1,336",,,,,,,,,,,
カナダ ,70.1 ,26.0 ,2.0 ,0.8 ,0.8 ,0.0 ,0.4 ,0.0 ,100.0 ,258,,,,,,,,,,,
英国,83.0 ,15.8 ,0.3 ,0.6 ,0.3 ,0.0 ,0.0 ,0.0 ,100.0 ,312,,,,,,,,,,,
ドイツ ,70.5 ,25.6 ,1.9 ,1.0 ,0.0 ,0.0 ,0.5 ,0.5 ,100.0 ,203,,,,,,,,,,,
フランス,67.5 ,30.5 ,1.0 ,0.3 ,0.0 ,0.0 ,0.0 ,0.6 ,100.0 ,290,,,,,,,,,,,
イタリア,60.9 ,32.5 ,2.9 ,1.2 ,1.1 ,0.0 ,0.0 ,1.4 ,100.0 ,204,,,,,,,,,,,
スペイン,74.1 ,23.5 ,1.7 ,0.8 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,217,,,,,,,,,,,
オーストラリア ,74.6 ,22.6 ,1.1 ,0.2 ,0.9 ,0.0 ,0.4 ,0.2 ,100.0 ,487,,,,,,,,,,,
インド,65.7 ,28.8 ,2.2 ,0.8 ,0.0 ,0.8 ,1.1 ,0.6 ,100.0 ,160,,,,,,,,,,,
インドネシア,53.1 ,42.0 ,2.8 ,1.7 ,0.4 ,0.0 ,0.0 ,0.0 ,100.0 ,215,,,,,,,,,,,
フィリピン ,76.7 ,21.1 ,0.9 ,0.3 ,0.0 ,0.0 ,0.5 ,0.6 ,100.0 ,340,,,,,,,,,,,
ベトナム,45.4 ,39.1 ,6.4 ,4.7 ,0.0 ,0.0 ,2.6 ,1.8 ,100.0 ,178,,,,,,,,,,,
ロシア ,73.4 ,22.2 ,1.2 ,1.3 ,0.6 ,0.0 ,0.6 ,0.6 ,100.0 ,162,,,,,,,,,,,
その他,80.2 ,19.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,14,,,,,,,,,,,
