,宿泊費,,飲食費,,都内交通費,,娯楽入場費,,土産買物費,,その他,,都内支出額合計,,平均泊数,標本数
全体,"34,556",11.6,"26,312",10.5,"9,338",[sanitize]6.0,"3,191",7.2,"64,847",1.0,"2,199",17.7,"140,443",5.0,7.9,"12,893"
韓国,"31,922",38.3,"24,723",36.8,"8,205",5.9,"3,669",12.4,"22,915",5.6,"1,907",[sanitize]3.6,"93,341",23.0,8.8,"1,871"
台湾,"28,824",40.0,"21,353",17.3,"7,669",[sanitize]1.2,"3,167",10.6,"46,742",[sanitize]3.7,"1,306",73.2,"109,061",10.5,6.7,"1,951"
香港,"36,885",13.5,"29,566",7.0,"10,837",[sanitize]0.8,"4,095",49.7,"67,522",3.0,497,4.4,"149,403",6.9,5.2,953
中国,"35,825",22.0,"31,132",11.8,"9,790",11.0,"2,066",41.4,"134,987",[sanitize]0.4,"4,117",17.3,"217,918",5.5,9.2,"2,571"
タイ,"22,091",[sanitize]5.1,"19,169",20.2,"7,768",[sanitize]2.6,"3,928",[sanitize]3.3,"43,804",11.4,782,70.1,"97,542",7.1,4.8,692
シンガポール,"48,599",[sanitize]7.3,"30,527",4.9,"10,933",[sanitize]8.1,"3,115",[sanitize]15.0,"52,981",12.8,399,[sanitize]93.9,"146,555",[sanitize]2.6,4.9,360
マレーシア,"35,402",17.7,"15,059",[sanitize]32.6,"9,983",9.7,"4,590",86.6,"43,743",30.1,"2,736",513.4,"111,513",13.8,6.3,234
米国,"50,762",[sanitize]17.2,"29,895",[sanitize]18.4,"10,460",[sanitize]26.5,"4,286",[sanitize]11.2,"23,225",[sanitize]9.8,"1,443",31.6,"120,070",[sanitize]16.5,6.2,"1,275"
カナダ,"46,962",11.1,"29,728",14.7,"10,062",[sanitize]15.0,"4,469",1.2,"24,297",[sanitize]11.7,694,[sanitize]37.6,"116,212",2.7,8.5,256
英国,"59,761",2.2,"35,114",28.2,"12,212",28.7,"5,569",62.3,"21,574",55.4,"1,021",231.5,"135,250",19.7,9.1,286
ドイツ,"57,173",[sanitize]0.3,"37,972",23.8,"13,204",12.2,"4,975",22.0,"20,159",[sanitize]2.7,"1,066",[sanitize]2.9,"134,548",7.0,8.6,190
フランス,"51,921",[sanitize]3.7,"29,323",0.8,"15,301",[sanitize]13.0,"6,017",7.6,"27,888",18.1,"2,010",[sanitize]36.0,"132,459",[sanitize]0.3,8.8,263
イタリア,"46,067",3.6,"30,477",[sanitize]29.8,"13,831",[sanitize]40.0,"5,282",10.8,"22,865",[sanitize]52.6,625,[sanitize]41.4,"119,147",[sanitize]27.8,12.3,220
スペイン,"58,867",14.7,"34,727",[sanitize]4.0,"11,885",[sanitize]64.4,"5,361",[sanitize]19.8,"23,829",[sanitize]0.1,"1,454",69.4,"136,122",[sanitize]10.6,7.8,222
オーストラリア,"54,817",7.4,"42,980",37.3,"15,333",[sanitize]2.9,"6,497",[sanitize]13.8,"35,105",23.4,451,[sanitize]67.4,"155,182",14.5,6.1,400
インド,"41,269",[sanitize]5.7,"22,679",33.6,"10,330",14.4,"2,319",12.5,"18,112",[sanitize]11.1,"2,298",234.5,"97,007",4.4,11.3,168
インドネシア,"37,144",23.1,"21,567",17.7,"8,559",16.5,"3,115",[sanitize]2.3,"35,182",[sanitize]6.5,"1,171",391.9,"106,739",10.1,8.6,305
フィリピン,"28,893",25.2,"20,311",27.8,"8,413",22.6,"2,744",18.6,"27,634",[sanitize]29.1,250,[sanitize]58.2,"88,246",0.6,8.7,293
ベトナム,"19,849",[sanitize]27.2,"12,921",[sanitize]8.2,"16,541",159.7,838,[sanitize]1.1,"71,314",22.8,8,[sanitize]99.2,"121,471",12.8,13.0,200
ロシア,"35,818",3.3,"19,590",[sanitize]42.1,"10,236",[sanitize]15.9,"6,792",8.4,"33,911",[sanitize]1.8,"40,656",4290.5,"147,003",20.1,8.1,172
その他,"19,495",[sanitize]77.6,"10,752",[sanitize]72.9,"8,760",[sanitize]76.5,0,[sanitize]100.0,"32,762",102.2,0,[sanitize]100.0,"71,769",[sanitize]62.2,5.1,11
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
