,男性,女性,無回答,合計,標本数
全体,52.8,46.3,0.9,100.0,"13,045"
韓国,60.6,37.6,1.8,100.0,"1,771"
台湾,46.8,53.0,0.2,100.0,"2,059"
中国,47.9,51.8,0.3,100.0,"2,665"
香港,48.6,51.0,0.5,100.0,802
タイ,41.5,57.2,1.3,100.0,700
シンガポール,46.8,52.9,0.3,100.0,355
マレーシア,50.8,48.9,0.3,100.0,263
米国,64.2,34.7,1.1,100.0,"1,298"
カナダ,63.3,33.8,2.9,100.0,278
英国,68.0,31.1,1.0,100.0,307
ドイツ,70.4,29.6,0.0,100.0,212
フランス,62.9,36.1,1.0,100.0,300
イタリア,63.9,34.6,1.5,100.0,198
スペイン,63.9,34.4,1.7,100.0,204
オーストラリア,64.9,33.2,1.9,100.0,484
インド,77.5,21.5,1.1,100.0,174
インドネシア,46.3,52.8,0.9,100.0,251
フィリピン,39.0,61.0,0.0,100.0,335
ベトナム,53.1,44.1,2.8,100.0,179
ロシア,45.4,54.6,0.0,100.0,169
その他,55.5,43.7,0.8,100.0,41
