,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体 ,11.3,16.6,71.2,1,100,"13,321"
韓国,9.1,3.5,85.3,2.1,100,"2,707"
台湾,12.2,29.2,58.3,0.2,100,"2,876"
中国,19,23.2,57.2,0.6,100,"2,617"
香港,12.7,26,61.3,0,100,"1,003"
タイ,14.7,22.2,62.4,0.7,100,646
シンガポール,7.1,16,76.7,0.3,100,219
マレーシア,18,14.5,67.1,0.5,100,212
米国,2.6,4,92,1.4,100,694
カナダ,1.9,3.9,94,0.3,100,150
英国,6.5,8.3,84.5,0.8,100,206
ドイツ ,5,5.5,87.9,1.6,100,127
フランス ,1.7,1.5,94.2,2.6,100,160
イタリア,7.4,8.8,82.1,1.6,100,78
スペイン,3.1,8.3,87.6,1,100,63
オーストラリア,1.1,9,89.2,0.7,100,292
インド ,2.6,3.1,92.5,1.8,100,71
インドネシア ,11.4,8.1,78.2,2.3,100,144
フィリピン ,5,8.3,84.9,1.8,100,170
ベトナム,21.6,27.4,48.6,2.4,100,118
ロシア ,9.3,5.2,83.1,2.3,100,48
その他,3.3,4.3,90.5,2,100,720
