,大変満足,満足,やや満足,普通,やや不満,不満,大変不満,無回答,合計,標本数
全体,43.9,44.7,6.6,3.7,0.2,0.2,0.2,0.6,100.0,"13,045"
韓国,23.8,55.4,9.9,9.7,0.3,0.3,0.2,0.4,100.0,"1,771"
台湾,42.6,50.1,5.1,1.8,0.1,0.1,0.0,0.2,100.0,"2,059"
中国,43.2,45.4,8.1,2.3,0.3,0.2,0.1,0.5,100.0,"2,665"
香港,41.9,50.8,5.4,1.7,0.2,0.0,0.0,0.0,100.0,802
タイ,59.3,33.8,3.1,2.4,0.3,0.4,0.1,0.5,100.0,700
シンガポール,48.7,44.1,5.3,1.2,0.3,0.2,0.0,0.3,100.0,355
マレーシア,50.9,41.1,3.2,2.8,0.8,0.8,0.0,0.4,100.0,263
米国,79.0,19.0,0.9,0.3,0.1,0.2,0.4,0.2,100.0,"1,298"
カナダ,72.2,25.1,1.1,1.4,0.0,0.0,0.3,0.0,100.0,278
英国,82.1,16.6,0.3,0.3,0.0,0.0,0.0,0.7,100.0,307
ドイツ,67.0,30.6,1.8,0.0,0.0,0.0,0.0,0.6,100.0,212
フランス,74.4,22.8,1.0,0.3,0.0,0.0,0.0,1.4,100.0,300
イタリア,68.8,27.3,1.6,0.4,0.0,0.5,0.0,1.5,100.0,198
スペイン,75.4,20.7,1.4,1.8,0.0,0.0,0.7,0.0,100.0,204
オーストラリア,73.6,24.9,0.6,0.5,0.0,0.0,0.4,0.0,100.0,484
インド,73.5,23.9,2.1,0.0,0.0,0.0,0.5,0.0,100.0,174
インドネシア,54.8,41.9,1.5,1.3,0.0,0.0,0.3,0.3,100.0,251
フィリピン,81.6,16.5,0.9,0.3,0.0,0.0,0.7,0.0,100.0,335
ベトナム,53.0,32.4,8.5,1.7,0.6,0.0,2.2,1.7,100.0,179
ロシア,74.5,20.6,1.8,1.2,1.3,0.0,0.5,0.0,100.0,169
その他,64.1,23.3,6.7,0.0,0.0,0.0,0.0,5.9,100.0,41
