,大変満足,満足,やや満足,普通,やや不満,不満,大変不満,無回答,合計,標本数
全体,44.9,45.2,5.3,3.5,0.3,0.2,0.5,0.1,100.0,"12,893"
韓国,23.5,55.7,9.3,10.2,0.6,0.5,0.1,0.1,100.0,"1,871"
台湾,46.1,48.9,3.3,1.0,0.1,0.0,0.6,0.0,100.0,"1,951"
香港,43.2,51.1,3.8,1.6,0.3,0.0,0.0,0.0,100.0,953
中国,45.0,45.2,6.7,1.8,0.2,0.1,0.9,0.1,100.0,"2,571"
タイ,59.0,35.3,2.1,2.4,0.0,0.0,0.9,0.3,100.0,692
シンガポール,54.5,41.1,2.2,0.5,0.5,0.3,0.9,0.0,100.0,360
マレーシア,56.3,35.7,4.0,1.0,0.7,0.5,0.4,1.4,100.0,234
米国,78.0,20.2,0.7,0.4,0.2,0.1,0.3,0.2,100.0,"1,275"
カナダ,70.3,26.5,2.0,0.8,0.4,0.0,0.0,0.0,100.0,256
英国,83.2,15.7,0.7,0.3,0.0,0.0,0.0,0.0,100.0,286
ドイツ,71.8,26.1,0.0,1.0,0.5,0.0,0.0,0.6,100.0,190
フランス,72.3,24.3,0.7,0.8,0.0,0.0,1.6,0.4,100.0,263
イタリア,67.4,27.7,1.0,0.4,0.9,0.4,2.1,0.0,100.0,220
スペイン,78.4,19.2,0.7,0.3,0.0,0.0,0.5,0.9,100.0,222
オーストラリア,74.8,21.4,1.1,0.8,0.7,0.3,0.5,0.5,100.0,400
インド,64.6,32.0,1.1,0.5,0.5,0.0,0.5,0.7,100.0,168
インドネシア,59.0,36.4,1.9,2.0,0.0,0.0,0.4,0.3,100.0,305
フィリピン,80.6,18.0,0.4,0.3,0.0,0.0,0.3,0.4,100.0,293
ベトナム,45.0,47.7,3.5,3.1,0.6,0.0,0.0,0.0,100.0,200
ロシア,71.6,23.0,2.4,3.0,0.0,0.0,0.0,0.0,100.0,172
その他,53.2,46.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11
