,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体,3.6,33.7,29.1,17.8,9.1,4.2,0.6,1.9,100.0,"13,045"
韓国,4.5,39.3,24.3,17.7,8.7,3.1,0.3,2.1,100.0,"1,771"
台湾,3.3,29.9,30.0,19.3,10.9,4.9,0.8,0.9,100.0,"2,059"
中国,4.0,33.0,34.4,15.0,7.6,4.6,0.6,0.9,100.0,"2,665"
香港,3.1,34.1,30.6,14.6,11.9,3.4,0.0,2.3,100.0,802
タイ,3.2,31.7,33.8,19.2,7.4,2.4,0.4,1.8,100.0,700
シンガポール,2.9,28.1,30.1,23.5,9.7,4.3,0.6,0.8,100.0,355
マレーシア,2.9,24.2,30.5,29.0,9.1,3.2,0.4,0.6,100.0,263
米国,2.9,34.4,25.2,14.5,13.2,5.8,1.8,2.2,100.0,"1,298"
カナダ,4.2,40.0,22.4,14.3,9.7,4.2,0.4,4.7,100.0,278
英国,2.7,28.2,26.9,19.4,11.7,6.9,2.3,2.0,100.0,307
ドイツ,2.5,31.4,29.8,16.1,14.6,4.2,0.4,0.9,100.0,212
フランス,2.3,35.3,22.7,19.0,8.3,5.4,3.4,3.7,100.0,300
イタリア,0.4,30.7,29.6,20.7,9.1,2.8,3.0,3.7,100.0,198
スペイン,0.0,26.9,42.5,19.9,6.6,1.8,0.5,1.7,100.0,204
オーストラリア,6.1,38.5,18.9,14.7,11.2,6.1,2.0,2.6,100.0,484
インド,0.0,27.3,38.8,20.3,10.3,1.6,0.0,1.6,100.0,174
インドネシア,4.0,39.0,28.2,15.1,7.4,3.6,0.9,1.8,100.0,251
フィリピン,2.3,31.4,36.2,14.3,11.7,3.3,0.6,0.3,100.0,335
ベトナム,1.1,22.5,30.6,29.2,11.7,1.1,1.1,2.7,100.0,179
ロシア,1.8,31.9,34.1,18.5,6.3,5.5,1.2,0.6,100.0,169
その他,0.8,25.7,18.8,35.3,3.1,6.7,0.0,9.6,100.0,41
