,10代,20代,30代,40代,50代,60代,70代以上,無回答,合計,標本数
全体,6.1,34.9,28.4,17.4,8.0,2.9,0.5,1.7,100.0,"12,893"
韓国,6.8,43.4,21.5,16.8,7.3,2.0,0.2,2.0,100.0,"1,871"
台湾,4.0,28.5,33.7,20.6,8.9,2.8,0.4,1.1,100.0,"1,951"
香港,4.3,30.2,29.1,18.6,12.4,3.0,0.5,1.9,100.0,953
中国,5.4,36.9,33.7,13.7,6.1,2.0,0.4,1.7,100.0,"2,571"
タイ,2.9,32.9,35.9,16.5,7.2,2.6,0.0,2.1,100.0,692
シンガポール,7.9,23.0,26.9,24.2,11.7,4.0,0.6,1.7,100.0,360
マレーシア,4.7,22.7,31.6,27.3,6.3,4.3,0.5,2.6,100.0,234
米国,5.4,29.8,22.6,17.6,13.0,7.5,1.7,2.4,100.0,"1,275"
カナダ,7.0,41.5,21.5,13.3,10.9,3.5,1.6,0.8,100.0,256
英国,1.6,37.3,25.1,17.7,8.5,6.3,1.8,1.7,100.0,286
ドイツ,2.4,33.4,37.6,11.5,10.5,3.6,0.0,1.1,100.0,190
フランス,2.2,42.1,23.6,12.4,10.0,4.6,1.5,3.6,100.0,263
イタリア,1.3,23.3,27.9,22.3,17.1,4.4,1.9,1.7,100.0,220
スペイン,2.1,27.2,33.4,22.9,9.7,3.0,0.9,0.8,100.0,222
オーストラリア,8.0,38.0,19.4,13.8,8.7,8.3,2.5,1.4,100.0,400
インド,2.7,20.3,40.4,21.5,6.5,2.1,2.0,4.5,100.0,168
インドネシア,9.6,30.7,27.4,19.4,9.1,1.5,0.2,2.1,100.0,305
フィリピン,2.5,32.4,32.6,19.8,7.4,3.3,1.3,0.6,100.0,293
ベトナム,4.2,21.7,26.3,20.1,14.7,6.4,1.5,5.2,100.0,200
ロシア,5.9,26.1,39.0,14.4,3.2,3.8,0.7,6.9,100.0,172
その他,37.3,17.2,5.6,34.3,0.0,5.6,0.0,0.0,100.0,11
