,成田,羽田,関西,その他,無回答,,標本数
全体 ,64.5,22,10.2,2.7,0.7,100,"12,959"
韓国 ,72.3,23.9,2.2,1.4,0.2,100,"1,666"
台湾,74.2,20.1,2.6,1.7,1.4,100,"2,112"
中国 ,44.1,22.5,26.9,5.6,0.9,100,"2,674"
香港 ,70.4,22.4,3.9,2.6,0.7,100,794
タイ ,78.3,16.4,3.7,1.4,0.3,100,710
シンガポール,59.2,32.4,7.2,1.2,0,100,338
マレーシア,82.3,4.3,11.8,1,0.6,100,289
米国,84.6,9.6,4.7,0.8,0.3,100,"1,336"
カナダ ,59.7,34.5,4.2,1.2,0.4,100,258
英国,51.9,43,3.5,0.6,1.1,100,312
ドイツ ,50.7,44.4,2.5,2.5,0,100,203
フランス,49,42.6,5.6,1.8,1.1,100,290
イタリア,88.6,8.6,2.3,0,0.4,100,204
スペイン,58.6,21.9,18.1,0.8,0.6,100,217
オーストラリア ,81.1,9.9,7.2,1.3,0.4,100,487
インド,88.4,8.4,2.5,0.6,0,100,160
インドネシア,47.5,36.4,13.7,2.4,0,100,215
フィリピン ,69.7,21.6,6.6,1.4,0.6,100,340
ベトナム,62.6,15.9,15.4,5.6,0.5,100,178
ロシア ,96.9,1.2,0,1.2,0.6,100,162
その他,67.6,28.2,4.2,0,0,100,14
