,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体 ,4.3,8.8,18,17.2,36,11.3,1.3,2.8,0.2,100,"12,959"
韓国 ,3.7,9.6,25.2,28.7,23.6,5.6,1,2.3,0.3,100,"1,666"
台湾,3.2,7.7,13,11.8,51,10.1,1,2.1,0.1,100,"2,112"
中国 ,5.3,12.9,24.3,13.5,28.4,9.5,1.1,4.8,0.2,100,"2,674"
香港 ,1.3,5.2,13,16,51.1,12.1,0.4,0.8,0.1,100,794
タイ ,10.1,9.2,17.3,19.3,30.4,10,1.5,1.4,0.8,100,710
シンガポール,2.7,5.3,13.1,13.8,42.4,18.3,1.9,1.8,0.7,100,338
マレーシア,6.2,8.2,18.9,17.5,35.6,12.4,0.4,0.8,0,100,289
米国,4.7,6,9.4,16.3,37.3,20,3.6,2.6,0.1,100,"1,336"
カナダ ,5.4,6.6,7.7,11.6,41.5,24,1.9,1.2,0,100,258
英国,2.1,6.6,7.6,18.7,42.5,16.7,2.4,3.4,0,100,312
ドイツ ,4.4,1.5,11.8,11.8,39.5,25.6,3.9,1.5,0,100,203
フランス,4.4,2,5.9,8,40.8,26.3,6.9,5.4,0.4,100,290
イタリア,3.4,3.4,5.2,15.1,46.8,16.9,4.3,4.5,0.3,100,204
スペイン,3.3,0.8,3.8,16.7,48.2,22.3,1.1,2.8,1,100,217
オーストラリア ,1,2.8,6.4,12.7,39.5,31.8,4.5,1.4,0,100,487
インド,17.6,9.7,10.4,14.6,23.1,10.2,2.8,10.7,0.8,100,160
インドネシア,4,4.2,19.1,15.3,38.8,14.7,1.8,2.1,0,100,215
フィリピン ,14.7,8.4,5.1,16.9,36.3,10.8,2.4,4.4,0.9,100,340
ベトナム,14.3,22.7,17.5,9.3,19.7,7.9,3.1,5.7,0,100,178
ロシア ,12.4,5.5,12.9,9.2,27.3,19.8,3.1,8.6,1.2,100,162
その他,0,0,0,14.6,59.2,26.2,0,0,0,100,14
