,1回目,2回目,3回目,4～9回,10回以上,無回答,合計,標本数
全体,36.7,16.9,9.5,20.4,16.0,0.5,100.0,"13,045"
韓国,22.6,19.7,11.3,26.3,19.9,0.2,100.0,"1,771"
台湾,17.2,15.8,14.0,30.5,21.3,1.2,100.0,"2,059"
中国,57.4,16.1,6.6,11.9,7.3,0.7,100.0,"2,665"
香港,13.8,16.5,10.7,32.1,26.1,0.8,100.0,802
タイ,33.9,19.1,10.7,24.7,11.5,0.1,100.0,700
シンガポール,27.1,22.9,12.2,23.4,14.0,0.4,100.0,355
マレーシア,35.4,24.2,10.3,17.7,12.5,0.0,100.0,263
米国,59.1,13.4,6.4,11.9,9.0,0.2,100.0,"1,298"
カナダ,63.9,13.2,5.1,10.5,6.9,0.4,100.0,278
英国,55.3,15.1,8.1,12.0,9.4,0.0,100.0,307
ドイツ,52.5,12.1,7.1,13.7,14.6,0.0,100.0,212
フランス,55.4,12.9,9.4,10.5,11.4,0.3,100.0,300
イタリア,64.2,12.0,4.1,10.0,9.7,0.0,100.0,198
スペイン,76.5,12.8,3.1,4.5,3.2,0.0,100.0,204
オーストラリア,57.1,18.5,6.4,11.6,6.4,0.0,100.0,484
インド,58.3,12.2,4.7,17.7,7.0,0.0,100.0,174
インドネシア,54.3,19.9,7.6,11.8,6.5,0.0,100.0,251
フィリピン,50.0,22.1,7.7,14.2,6.0,0.0,100.0,335
ベトナム,60.1,15.3,9.4,9.5,5.7,0.0,100.0,179
ロシア,60.0,12.9,4.6,11.0,11.5,0.0,100.0,169
その他,46.5,9.8,2.4,0.8,40.6,0.0,100.0,41
