,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体,3.9,8.2,17.3,17.5,37.0,10.7,1.5,3.4,0.6,100.0,"12,893"
韓国,1.6,8.6,25.0,28.7,26.9,3.9,0.9,4.1,0.3,100.0,"1,871"
台湾,3.1,6.5,11.2,14.3,51.8,9.3,1.0,2.5,0.3,100.0,"1,951"
香港,1.9,3.6,11.6,17.9,49.6,13.2,1.3,0.6,0.3,100.0,953
中国,5.8,11.6,20.5,13.6,33.5,8.3,1.6,4.6,0.5,100.0,"2,571"
タイ,8.5,8.7,15.2,18.0,36.7,9.0,1.2,1.0,1.8,100.0,692
シンガポール,3.2,4.8,10.3,13.2,45.6,21.6,1.4,0.0,0.0,100.0,360
マレーシア,2.9,7.9,13.8,13.1,38.4,19.9,0.9,3.2,0.0,100.0,234
米国,5.8,6.7,11.8,15.1,35.8,19.1,3.1,2.3,0.4,100.0,"1,275"
カナダ,2.4,5.4,11.3,12.5,35.8,23.2,4.7,4.7,0.0,100.0,256
英国,2.6,4.1,9.2,10.8,36.3,31.3,1.4,4.0,0.4,100.0,286
ドイツ,3.3,3.0,7.3,6.5,36.6,33.3,2.9,5.4,1.6,100.0,190
フランス,1.6,2.7,6.6,9.1,37.6,29.7,7.4,4.5,0.8,100.0,263
イタリア,3.1,4.2,3.9,11.1,43.2,19.3,5.5,8.6,1.0,100.0,220
スペイン,3.3,2.3,5.4,11.7,51.3,19.8,2.4,3.9,0.0,100.0,222
オーストラリア,3.0,3.5,8.9,11.4,40.7,25.7,6.2,0.7,0.0,100.0,400
インド,12.7,10.1,15.1,9.9,26.3,9.4,4.6,10.6,1.2,100.0,168
インドネシア,2.9,5.1,13.3,16.4,40.8,19.1,0.0,2.5,0.0,100.0,305
フィリピン,8.9,5.6,8.7,12.3,42.3,14.0,1.4,5.2,1.6,100.0,293
ベトナム,15.9,26.2,16.1,10.8,12.1,8.5,2.5,7.1,0.9,100.0,200
ロシア,3.2,10.1,11.8,8.4,29.9,27.1,2.2,7.3,0.0,100.0,172
その他,0.0,0.0,12.4,5.6,42.1,34.3,0.0,0.0,5.6,100.0,11
