,観光・レジャー,親族・知人訪問,ビジネス,その他,無回答,合計,標本数
全体,61.2,6,27,5.1,0.7,100,"13,321"
韓国 ,47.1,8,38.6,5.9,0.4,100,"2,707"
台湾,78.4,4.1,13.4,3.3,0.8,100,"2,876"
中国,58.5,5.1,30,5.3,1,100,"2,617"
香港 ,80.1,3.6,13.5,1.7,1.1,100,"1,003"
タイ,76,4.5,11.7,7.3,0.5,100,646
シンガポール,73.3,1.7,19.9,3.5,1.6,100,219
マレーシア,45.5,4,36.5,13.7,0.3,100,212
米国,42.5,9,44.2,3.5,0.9,100,694
カナダ,63.2,9.2,21.5,4.9,1.1,100,150
英国 ,50.2,10,37.4,2.2,0.2,100,206
ドイツ,39.1,7.1,48.2,5.5,0,100,127
フランス,51.9,12.3,31.6,3.6,0.7,100,160
イタリア ,44.1,13.3,39.8,2.4,0.4,100,78
スペイン ,65.6,9.2,21.3,3.9,0,100,63
オーストラリア ,76.7,5.4,15.7,2.1,0.1,100,292
インド ,15.6,5,73.7,4.4,1.2,100,71
インドネシア ,37.9,5.4,37.3,17.8,1.6,100,144
フィリピン ,55.5,16.6,20.5,6.7,0.7,100,170
ベトナム ,52.7,3.8,17.8,24.1,1.5,100,118
ロシア ,40.4,8.5,35.7,14.8,0.7,100,48
その他 ,52.2,6.6,34.8,6.4,0,100,720
