,地下鉄,地下鉄以外の鉄道,空港リムジンバス,貸切バス,定期観光バス,路線バス,タクシー,水上バス・屋形船,船（郡内移動のみ）,自転車,親族・知人の車,レンタカー,その他,無回答,合計,標本数
全体 ,57.8,74.1,17.5,18.2,3.9,6.1,25.9,1.6,1,1.5,4.7,1.6,1.9,1.2,217.2,"13,321"
韓国 ,55.2,76.3,17.7,8.4,1.8,6.3,27.5,1.6,0.8,1.4,7.2,2.2,1.8,1.4,209.6,"2,707"
台湾 ,60.1,77.6,14.1,28.5,3.7,6,11.6,2.4,0.8,1,4.1,0.7,0.8,1,212.4,"2,876"
中国 ,48.7,60.8,11.4,34.4,3.8,4.9,21.6,1.3,0.7,1.6,4.8,1.1,1.4,1.4,197.9,"2,617"
香港,63.4,77.8,18.9,16.6,3,5.5,21.5,0.4,0.6,1,1.5,2.7,1.2,1.4,215.5,"1,003"
タイ,49.8,76,23.2,8.8,10.5,1.3,27.7,3,1.3,2.2,7.9,6.9,2.6,1.3,222.4,646
シンガポール ,56.6,74.8,24.4,16.8,7.9,4.5,27.1,0,0.3,0.8,1,1.4,2.9,1,219.6,219
マレーシア ,60.3,75.1,21.7,22.6,3.1,5.9,27,1.4,0.5,2,3.1,0.6,4.6,0.7,228.7,212
米国,60.1,77.2,26.2,5.1,4.3,8.2,50.1,1.6,1.9,1.8,5.1,1.2,3.6,1.4,247.8,694
カナダ,70.9,81.6,22.8,4.7,4.5,8,46.1,2.8,2.5,3.1,5.6,1.2,2.7,1.2,257.8,150
英国,72.3,79.3,22.3,4.3,4.1,9.9,43.5,3.2,3.7,2.4,3.9,1.1,1.6,1.3,252.9,206
ドイツ,72.6,86.3,27.7,2.4,5.5,8.5,41.3,3.4,3.1,2.5,3.4,2.4,0.7,0,259.7,127
フランス,77.9,85.6,19.8,2.8,2.1,5.9,41.7,2.1,3.1,4.2,4,0.6,2.2,1.4,253.2,160
イタリア ,78,84.7,19.6,2.2,2.5,4.8,34.9,2.3,0,3.9,7.5,1.1,3.3,1.2,245.9,78
スペイン,76.5,83.2,21.8,3.7,4.9,8.1,41.1,0.2,3.2,5.8,2.1,0.2,2.4,1.7,254.9,63
オーストラリア ,72.3,86.9,24.2,4.1,5,7.1,48.4,1.7,1.1,3.4,2.3,0.9,1.5,0.7,259.5,292
インド ,65.1,70.2,41.9,3.5,2.3,11.5,47.1,1.9,0.9,1.4,2.7,1.9,4.9,1.9,257.4,71
インドネシア,53.5,78.5,18.8,12.2,9.7,7.6,22.4,0,0.7,1,4.3,0.6,1.3,2.2,212.8,144
フィリピン,65.6,81.3,28.5,4.9,9,8.1,39.2,1.3,0.7,1.5,7.4,2.4,3.4,0.5,253.9,170
ベトナム,28.7,60.3,17.8,23.1,12.2,9.7,16.3,2.2,0.5,4.6,9.3,3.1,3.3,2.9,194.2,118
ロシア,74.2,71.7,18.1,8,1.8,8.2,43,4.2,1.4,3.5,5.7,2.4,2.8,0,244.9,48
その他,65.6,74.9,21,5.4,3.3,8.9,42.5,0,1.1,0.9,0,0,6.1,1.1,230.5,720
