,ホテル,旅館,"ホステル・
ドミトリー・
カプセル
ホテル","寮、
保養所、
研修所","親戚・
知人宅",その他,無回答,合計,標本数,,
全体 ,77.8 ,5.8 ,7.2 ,2.3 ,7.0 ,2.7 ,2.7 ,105.6 ,"12,713 ",,
韓国 ,63.7 ,6.9 ,16.6 ,2.9 ,11.2 ,2.4 ,1.9 ,105.6 ,"1,754 ",,
台湾 ,82.1 ,9.0 ,4.0 ,1.5 ,5.0 ,1.7 ,2.1 ,105.4 ,"2,144 ",,
中国 ,82.9 ,4.4 ,1.4 ,2.9 ,5.6 ,1.4 ,3.8 ,102.3 ,"2,261 ",,
香港,89.4 ,2.4 ,3.2 ,1.6 ,1.8 ,1.1 ,2.4 ,101.9 ,718 ,,
タイ,79.2 ,10.4 ,8.4 ,1.5 ,7.8 ,1.9 ,3.1 ,112.3 ,802 ,,
シンガポール ,75.4 ,4.8 ,7.4 ,3.1 ,5.0 ,8.7 ,1.5 ,105.9 ,403 ,,
マレーシア ,79.7 ,0.9 ,6.8 ,2.5 ,6.4 ,4.0 ,2.6 ,102.8 ,269 ,,
米国,77.2 ,3.6 ,6.5 ,2.8 ,9.2 ,7.1 ,4.1 ,110.5 ,"1,306 ",,
カナダ,71.0 ,4.4 ,12.7 ,0.7 ,6.2 ,8.8 ,5.2 ,108.9 ,273 ,,
英国,75.7 ,8.1 ,9.8 ,1.6 ,8.5 ,7.0 ,4.1 ,114.8 ,353 ,,
ドイツ,77.7 ,6.2 ,10.4 ,2.5 ,11.1 ,3.7 ,1.1 ,112.6 ,192 ,,
フランス,64.7 ,11.9 ,13.9 ,1.4 ,15.4 ,12.5 ,2.3 ,122.1 ,323 ,,
イタリア ,72.2 ,13.7 ,10.7 ,3.3 ,10.2 ,6.4 ,2.1 ,118.5 ,212 ,,
スペイン,72.8 ,13.7 ,15.1 ,4.5 ,7.3 ,8.5 ,1.5 ,123.4 ,225 ,,
オーストラリア ,71.7 ,6.2 ,13.1 ,0.0 ,6.9 ,15.1 ,1.4 ,114.4 ,432 ,,
インド ,73.8 ,0.0 ,0.8 ,3.1 ,7.0 ,6.6 ,8.7 ,100.0 ,150 ,,
インドネシア,72.5 ,3.3 ,5.9 ,6.4 ,7.3 ,5.9 ,4.6 ,105.9 ,207 ,,
フィリピン,75.8 ,0.0 ,5.5 ,0.5 ,10.8 ,4.6 ,4.6 ,101.8 ,219 ,,
ベトナム,81.3 ,3.2 ,2.0 ,3.3 ,9.6 ,0.5 ,2.9 ,102.9 ,185 ,,
ロシア,81.5 ,6.7 ,2.9 ,2.9 ,7.5 ,2.9 ,2.4 ,106.7 ,169 ,,
その他,81.4 ,1.9 ,14.8 ,2.6 ,7.9 ,2.3 ,0.7 ,111.6 ,116 ,,
