,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,原宿・表参道・青山,渋谷,六本木・赤坂,新宿・大久保,恵比寿・代官山,池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,お台場・東京湾,吉祥寺・三鷹,八王子・高尾山,青梅・御岳山,奥多摩,伊豆諸島・小笠原諸島,その他
日本食を楽しむ,26.8,4.9,16.2,87.1,9.5,16.5,15.6,16.4,23.7,15.5,16.9,5.5,4.7 ,16.7 ,15.8 ,10.7 ,4.8 ,1.6 ,2.2 ,4.7 ,8.4 ,6.2 ,5.1 
日本食以外の料理を楽しむ,0.9,0.5,0.6,0.2,1.3,1.6,1,0.8,5.3,0.7,0.8,0.4,0.0 ,0.0 ,0.7 ,7.2 ,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 
電気製品のショッピング,0.8,25.9,2.8,0.1,0.7,1.5,0.1,3.6,0,5,1.2,0,0.0 ,0.3 ,0.4 ,0.0 ,0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
服・服飾雑貨のショッピング,6.5,4.7,32,0.1,42.9,25.4,3.4,16.9,10.5,16.3,6.2,1.1,0.9 ,0.0 ,4.1 ,2.3 ,7.8 ,10.6 ,1.8 ,0.0 ,0.0 ,3.1 ,4.5 
日用雑貨、化粧品、食品、菓子類のショッピング,7.9,12.1,29.2,2.5,13.1,15.4,2.1,19,4,21.4,14.4,2.6,0.9 ,1.2 ,3.4 ,6.3 ,6.6 ,14.2 ,0.0 ,0.0 ,10.4 ,0.0 ,2.3 
その他のショッピング,2.2,13,4.3,0.7,4.9,6.7,2.7,4.7,3.9,5.3,3.4,0.8,0.0 ,0.4 ,1.5 ,2.9 ,1.1 ,3.0 ,1.9 ,0.0 ,0.0 ,0.0 ,39.5 
伝統文化の見学,0.4,0.2,0.4,0.2,0.8,0.6,0.7,1.5,0,0.1,0.9,2.4,5.2 ,0.0 ,0.0 ,0.0 ,0.3 ,2.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 
伝統文化の体験,0,0.2,0.1,0.2,0.5,0.4,0.3,0.3,0.6,0.5,1.1,1.1,0.0 ,0.1 ,0.0 ,0.0 ,0.1 ,1.1 ,2.4 ,0.0 ,19.7 ,2.6 ,0.0 
伝統建築の見学,6.5,0.5,0.3,1.9,8.5,1.1,1.3,4.5,3.7,0.5,6.1,71.3,6.4 ,4.6 ,0.5 ,0.0 ,0.7 ,5.1 ,5.4 ,0.0 ,9.2 ,1.7 ,2.6 
最新の日本文化に触れる,0.7,24.8,0.1,0.3,2.4,2.8,2.6,1.3,1.1,6.6,0.1,0.6,1.6 ,1.5 ,3.2 ,0.0 ,1.4 ,8.3 ,0.0 ,0.0 ,0.0 ,1.8 ,2.4 
高層ビル、近代的な街並み・景観・建築物の探索,23.1,5.9,7.6,0.8,10.2,12.2,24.3,9,24.9,9.2,4.3,4.1,52.8 ,29.0 ,6.4 ,2.7 ,6.7 ,3.2 ,0.7 ,10.5 ,0.0 ,0.0 ,4.2 
美術館・博物館の探索,0.7,0.1,0.1,0,0.8,0.3,14.9,0.1,5.1,0,13.8,0.3,10.7 ,0.4 ,1.3 ,0.0 ,0.8 ,33.6 ,1.6 ,4.5 ,0.0 ,0.0 ,0.8 
ウォーターフロント、夜景などの探索,0.5,0,0.2,0.3,0,0.1,2.4,0.3,0,0,1.5,0.6,5.0 ,1.6 ,0.1 ,0.0 ,37.0 ,1.9 ,1.6 ,0.0 ,0.0 ,2.6 ,1.1 
自然を感じる,0.8,0.1,0,0.1,1.3,0,0,1.3,1.8,0,6.2,0.5,0.5 ,0.4 ,0.0 ,9.7 ,2.9 ,5.9 ,51.9 ,74.6 ,38.1 ,66.1 ,2.9 
テーマパーク、レジャー施設で遊ぶ,0.4,0.3,0.2,0,0,0,0.8,0,0.6,0.4,10.2,0.4,0.0 ,2.0 ,2.5 ,0.0 ,13.3 ,3.7 ,7.8 ,0.0 ,0.0 ,0.0 ,0.6 
室内型アミューズメント施設で遊ぶ,0,2.6,0,0,0.1,0.1,0.5,0.5,0,1.7,0.4,0.1,0.0 ,0.0 ,0.0 ,0.0 ,1.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
スポーツをする・観戦する,0.2,0.2,0,0,0.1,0.1,0,0,0,0,0.1,0,1.2 ,1.3 ,0.2 ,0.0 ,0.3 ,0.5 ,0.0 ,0.0 ,0.0 ,2.5 ,1.0 
スパ・エステ,0,0.1,0,0,0.2,0.1,0.6,0,0,0,0.4,0.1,0.0 ,0.0 ,0.9 ,1.7 ,5.6 ,0.0 ,0.7 ,0.0 ,0.0 ,1.0 ,0.0 
宿泊施設での滞在を楽しむ,12.2,1.3,2.7,1.1,0.2,2.1,6.9,8.7,7.8,11.6,6.9,2.1,8.3 ,17.9 ,38.9 ,26.5 ,1.7 ,1.3 ,10.1 ,0.0 ,0.0 ,3.7 ,7.6 
ナイトライフを楽しむ,0.3,0.1,0.6,0,0.4,4.1,10.7,5.1,1.8,0.8,0.6,0.2,0.0 ,1.6 ,1.4 ,0.0 ,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 
その他,5.8,0.7,1.3,0.8,1.1,3.8,5.4,4.1,2.7,2.8,2.2,0.6,0.0 ,17.9 ,16.9 ,27.5 ,5.2 ,1.7 ,10.1 ,0.0 ,2.6 ,6.0 ,17.7 
無回答,3.3,1.9,1.4,3.6,1.2,5.2,3.7,1.9,2.6,1.4,2.2,5,1.7 ,2.9 ,1.8 ,2.4 ,1.4 ,2.1 ,2.0 ,5.7 ,11.6 ,2.6 ,6.8 
合計,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
標本数,530,"1,016","1,236",392,857,"1,137",345,"1,392",88,372,719,"1,294",125 ,123 ,162 ,24 ,910 ,142 ,75 ,15 ,18 ,36 ,141 
