,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
日本食を楽しむ,87.6 ,85.4 ,88.6 ,81.2 ,94.7 ,91.8 ,95.2 ,93.0 ,95.8 ,95.8 ,94.6 ,94.5 ,97.0 ,82.4 ,95.1 ,96.8 ,74.4 ,92.6 ,96.6 ,86.0 ,82.3 ,91.1 
日本食以外の料理を楽しむ,22.5 ,11.5 ,19.1 ,15.5 ,25.1 ,19.4 ,35.2 ,27.9 ,45.8 ,48.1 ,51.8 ,44.2 ,28.8 ,25.7 ,24.8 ,51.9 ,42.9 ,41.9 ,33.9 ,35.8 ,21.1 ,59.7 
電気製品のショッピング,31.6 ,10.5 ,35.4 ,59.1 ,22.2 ,25.3 ,18.3 ,18.7 ,9.5 ,15.8 ,12.7 ,18.7 ,17.6 ,23.2 ,22.9 ,20.8 ,27.1 ,27.8 ,23.6 ,44.6 ,17.5 ,16.9 
服・服飾雑貨のショッピング,56.2 ,39.0 ,63.3 ,65.2 ,71.7 ,60.0 ,65.2 ,60.1 ,38.4 ,52.5 ,42.6 ,34.3 ,43.5 ,45.6 ,39.9 ,56.7 ,40.3 ,60.5 ,69.0 ,61.8 ,48.4 ,40.0 
日用雑貨、化粧品、食品、菓子類のショッピング,65.6 ,47.3 ,78.4 ,79.4 ,75.2 ,71.0 ,64.6 ,58.0 ,42.5 ,50.7 ,52.8 ,35.9 ,43.5 ,38.9 ,36.1 ,59.4 ,33.6 ,58.1 ,58.9 ,65.6 ,51.7 ,42.6 
その他のショッピング,31.0 ,27.1 ,27.3 ,32.0 ,32.0 ,40.4 ,35.4 ,33.9 ,36.4 ,35.8 ,33.6 ,31.6 ,37.4 ,33.0 ,37.8 ,35.6 ,25.7 ,46.7 ,46.1 ,25.2 ,28.2 ,30.8 
伝統文化の見学,10.3 ,8.5 ,6.2 ,8.6 ,7.3 ,19.4 ,7.6 ,7.1 ,17.9 ,17.0 ,21.7 ,14.5 ,30.8 ,26.2 ,31.7 ,20.6 ,6.4 ,12.4 ,8.2 ,14.7 ,30.8 ,21.1 
伝統文化の体験,7.3 ,4.2 ,3.0 ,4.1 ,4.7 ,12.0 ,8.7 ,9.8 ,20.4 ,18.7 ,21.6 ,19.1 ,20.0 ,23.2 ,22.8 ,23.0 ,13.4 ,15.4 ,8.6 ,9.2 ,14.5 ,23.1 
伝統建築の見学,54.7 ,31.0 ,60.7 ,64.2 ,41.4 ,55.6 ,60.3 ,56.5 ,64.7 ,69.4 ,68.1 ,59.7 ,75.5 ,71.0 ,79.0 ,72.7 ,45.1 ,67.2 ,61.2 ,50.6 ,61.4 ,66.5 
最新の日本文化に触れる,18.5 ,21.6 ,15.0 ,14.4 ,14.1 ,15.7 ,17.3 ,15.4 ,27.3 ,28.7 ,37.3 ,21.1 ,28.5 ,21.3 ,31.8 ,35.7 ,7.7 ,24.7 ,14.6 ,14.5 ,33.2 ,30.6 
高層ビル、近代的な街並み・景観・建築物の探索,62.8 ,43.9 ,70.2 ,65.8 ,54.7 ,57.7 ,66.4 ,76.0 ,71.2 ,82.2 ,76.4 ,65.4 ,75.9 ,73.4 ,80.0 ,75.1 ,66.6 ,80.2 ,84.1 ,72.1 ,75.1 ,76.3 
美術館・博物館の探索,16.6 ,12.6 ,20.5 ,10.8 ,13.2 ,21.5 ,19.5 ,11.7 ,24.9 ,28.9 ,34.2 ,25.2 ,37.3 ,29.5 ,24.5 ,30.7 ,16.3 ,22.7 ,16.1 ,12.8 ,31.1 ,25.8 
ウォーターフロント、夜景などの探索,23.3 ,25.3 ,30.5 ,18.0 ,17.1 ,13.2 ,19.7 ,20.5 ,24.9 ,27.4 ,30.9 ,19.5 ,29.6 ,29.0 ,37.2 ,27.1 ,17.7 ,27.4 ,24.4 ,23.7 ,42.3 ,27.8 
自然を感じる,17.7 ,14.9 ,17.0 ,13.3 ,12.1 ,31.6 ,19.1 ,16.1 ,27.5 ,28.1 ,33.6 ,28.1 ,34.7 ,29.6 ,36.2 ,33.3 ,17.7 ,14.4 ,22.1 ,12.2 ,32.0 ,28.8 
テーマパーク、レジャー施設で遊ぶ,20.0 ,21.9 ,27.4 ,14.6 ,16.3 ,20.7 ,22.4 ,15.7 ,13.4 ,19.2 ,19.7 ,15.5 ,27.1 ,24.7 ,22.0 ,26.1 ,13.7 ,25.5 ,31.1 ,14.5 ,39.8 ,18.0 
室内型アミューズメント施設で遊ぶ,7.7 ,10.2 ,4.1 ,2.8 ,4.6 ,6.4 ,6.8 ,5.3 ,14.2 ,21.0 ,27.6 ,12.7 ,27.6 ,16.3 ,26.1 ,26.7 ,3.1 ,6.3 ,10.6 ,5.1 ,16.4 ,18.5 
