,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
東京駅周辺・丸の内・日本橋,33.5,31.1,37.4,26.1,33.6,38.0,41.1,42.0,46.6,52.7,45.5,46.6,44.8,43.5,52.9,56.5,37.2,44.8,35.0,22.2,33.2,32.2
秋葉原,39.0,32.5,27.5,48.5,35.0,36.3,30.2,42.2,41.7,52.3,38.0,46.6,57.1,59.8,78.4,43.6,45.9,45.9,42.1,38.0,48.3,55.9
銀座,49.7,34.2,32.0,75.4,39.6,42.0,52.9,51.1,45.0,53.5,46.0,47.3,50.9,65.0,73.8,47.3,44.0,63.2,46.4,49.7,72.6,76.4
築地,17.6,7.6,23.0,11.3,33.6,25.1,31.1,20.8,21.9,32.8,14.3,19.0,22.8,32.9,37.9,21.2,6.5,15.6,15.8,9.5,19.8,46.5
原宿・表参道・青山,33.7,37.0,35.5,21.6,41.3,35.8,43.5,35.9,37.1,49.1,32.0,34.9,44.1,43.1,49.4,46.2,13.7,54.8,32.2,11.4,25.4,50.4
渋谷,42.6,47.9,27.5,24.8,43.7,64.8,63.1,60.3,62.8,72.6,61.9,68.6,75.9,78.2,86.7,70.3,36.7,73.0,69.8,31.8,65.9,77.2
六本木・赤坂,19.5,23.3,12.1,11.0,15.2,13.1,21.7,14.2,34.0,28.0,32.4,37.7,33.3,45.3,47.9,35.7,23.1,22.2,27.5,10.7,30.5,58.4
新宿・大久保,56.0,60.5,45.7,50.8,65.5,66.4,65.8,62.4,57.8,66.4,56.1,56.7,69.8,59.0,73.4,72.0,38.6,62.1,55.2,33.9,47.8,61.8
恵比寿・代官山,6.2,8.9,5.0,3.9,6.5,4.2,7.8,5.5,9.8,9.2,9.1,7.3,11.3,15.5,11.3,8.1,5.6,6.8,3.2,1.7,6.9,3.1
池袋,20.8,17.7,25.3,20.0,32.9,18.0,24.6,19.5,15.0,25.7,14.6,15.4,30.1,21.4,22.2,16.9,9.6,17.1,18.6,12.7,17.1,15.1
上野,33.7,24.7,43.2,25.1,42.2,52.2,31.4,40.5,27.7,39.3,32.6,42.9,56.5,58.9,58.5,31.7,20.4,37.2,45.6,24.6,46.5,67.4
浅草,45.7,34.0,53.7,49.5,37.2,53.3,40.4,50.0,38.5,43.8,41.8,51.6,61.0,63.4,69.2,41.4,36.9,56.6,45.8,40.0,53.5,75.7
墨田・両国,7.0,3.6,6.8,4.5,4.3,5.3,5.3,12.7,9.7,11.9,9.8,12.2,17.7,12.6,17.2,10.3,8.3,13.0,12.7,8.9,15.5,38.5
新橋・汐留,9.6,10.1,10.1,7.1,8.5,5.4,10.4,9.7,11.1,10.2,17.2,16.7,14.5,22.6,27.3,10.9,8.9,18.7,9.6,6.6,17.8,14.3
品川,10.5,8.8,8.4,8.8,7.2,9.5,14.6,14.7,22.8,20.6,22.1,24.6,13.9,20.6,26.0,14.4,24.6,17.1,15.3,11.6,18.6,16.7
蒲田,1.3,0.9,1.2,1.5,0.7,2.7,0.3,0.7,1.4,0.7,1.9,1.4,1.0,0.5,2.1,0.6,0.7,2.2,2.9,2.2,0.5,2.4
お台場・東京湾,26.4,32.2,32.4,19.5,19.8,21.8,18.3,14.0,17.0,19.3,19.9,21.4,25.1,27.8,43.8,14.8,22.3,28.7,29.3,26.1,40.1,51.8
吉祥寺・三鷹,4.7,2.8,10.3,3.5,4.5,1.7,3.1,4.9,3.1,2.8,3.6,2.1,6.2,6.5,2.4,1.9,5.5,1.9,0.9,2.1,1.7,11.1
八王子・高尾山,2.6,1.0,3.1,3.0,1.8,2.7,4.0,4.7,2.4,1.5,1.3,1.9,3.9,2.6,5.3,2.5,2.9,0.7,2.6,1.1,1.9,9.6
青梅・御岳山,0.3,0.2,0.4,0.2,0.2,1.9,0.3,0.4,0.8,1.1,0.3,0.5,1.3,0.5,0.5,0.4,0.6,0.0,1.2,1.1,0.5,0.0
奥多摩,0.5,0.5,0.7,0.4,0.3,1.0,0.3,0.8,0.6,0.4,0.7,1.0,0.0,0.5,0.5,0.0,1.6,0.9,0.6,1.1,1.1,0.0
伊豆諸島・小笠原諸島,0.9,0.2,0.9,1.8,0.7,0.9,0.3,0.0,0.5,0.3,0.7,0.5,0.9,0.6,1.8,0.2,2.2,0.0,0.5,1.1,3.5,0.8
その他,3.2,2.8,3.6,2.9,2.8,1.1,3.4,3.4,5.4,5.0,3.9,2.6,4.1,2.4,0.3,1.7,5.2,3.3,3.4,4.4,5.3,5.5
無回答,0.3,0.1,0.1,0.1,0.0,0.1,0.6,0.3,0.3,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.5,0.0,0.0,1.2,0.7,5.9
標本数,"13,045","1,771","2,059","2,665",802,700,355,263,"1,298",278,307,212,300,198,204,484,174,251,335,179,169,41
