,1回目,2回目,3回目,4～9回,10回以上,無回答,,標本数
全体 ,48.8,17.8,9.1,13.4,10.3,0.6,100,"12,959"
韓国 ,43.8,16.9,9.3,14.8,14.5,0.7,100,"1,666"
台湾,33.1,22.2,12.4,19.4,11.8,1.1,100,"2,112"
中国 ,64.7,14.5,6.3,8.5,5.7,0.4,100,"2,674"
香港 ,22.5,20.5,14.4,24.3,17.2,1,100,794
タイ ,48,21.8,9.1,15.4,5.2,0.4,100,710
シンガポール,29.7,21.8,11.6,22.1,14.3,0.5,100,338
マレーシア,57.1,16.8,10.9,8.4,6.8,0,100,289
米国,62.8,14.3,7.1,7.8,7.6,0.4,100,"1,336"
カナダ ,64.4,13.6,6.6,10.4,4.6,0.4,100,258
英国,63.9,8.3,5.4,11,10.7,0.7,100,312
ドイツ ,57,14.7,5,12.4,9.9,1,100,203
フランス,57,15.6,7.6,12.2,6.9,0.7,100,290
イタリア,72,11.6,3.9,8,4.5,0,100,204
スペイン,83.5,8.2,2.4,5.2,0.7,0,100,217
オーストラリア ,68.1,17.8,4.6,6.7,2.8,0,100,487
インド,68.1,12.9,6.6,8.3,3.4,0.6,100,160
インドネシア,60.7,22.4,4.5,7.9,4.4,0,100,215
フィリピン ,58.6,17.9,5.4,12.3,5.2,0.6,100,340
ベトナム,65.2,17.4,5.2,6.9,5.3,0,100,178
ロシア ,57.2,16.1,8.7,9.9,8.2,0,100,162
その他,36.6,26.9,12.6,4.2,19.8,0,100,14
