,全体,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
食事施設,86.7,75.3,91.3,93.2,87.1,88.2,95.5,88.9,96.4,94.9,93.5,95.9,96.0,90.7,89.4,95.7,80.7,85.8,97.8,78.8,88.3,100.0
宿泊施設,79.0,66.1,83.5,80.0,80.5,80.9,89.3,85.2,90.9,91.5,90.8,75.5,82.5,74.2,77.7,85.0,88.4,85.3,93.3,79.8,73.5,100.0
観光施設,85.3,68.4,92.2,89.2,89.8,83.8,91.8,92.8,92.7,92.1,90.6,89.1,87.8,77.3,85.5,92.6,88.5,91.7,96.4,89.3,84.4,100.0
交通機関,78.0,52.9,87.8,78.9,83.6,86.3,88.6,89.1,93.6,92.9,90.4,93.1,87.8,93.8,90.2,94.5,93.7,86.6,95.2,93.6,84.0,87.6
おもてなし,88.1,76.7,90.4,91.4,91.3,84.7,93.5,91.2,96.1,95.2,93.5,95.8,90.1,92.4,91.2,94.5,92.3,90.0,96.0,74.4,96.4,100.0
"外国語
対応能力",47.2,31.7,57.9,48.4,53.0,39.4,52.1,38.2,65.6,59.0,66.5,30.9,33.8,21.3,17.2,68.8,28.8,34.1,53.4,35.9,38.3,48.5
案内標識,69.3,50.9,81.1,73.2,78.2,59.4,74.0,69.1,76.9,70.4,74.4,59.1,61.1,51.1,55.5,78.2,69.2,65.7,73.0,66.7,68.7,70.4
観光情報,72.3,47.1,84.1,79.5,79.4,62.0,84.3,78.2,86.2,83.6,84.5,82.6,76.3,67.3,74.3,84.5,81.3,77.1,89.4,64.0,74.7,94.1
両替,66.9,47.4,75.0,68.9,78.0,64.4,73.7,65.4,84.0,78.1,75.5,80.2,73.9,70.6,66.5,79.7,70.0,70.0,82.1,60.3,67.0,59.3
クレジットカード等,74.8,45.3,88.6,86.4,85.2,81.8,81.8,84.7,74.8,71.4,67.6,76.8,64.1,59.5,52.1,71.8,78.1,82.0,90.2,80.2,71.8,84.9
標本数,"12,847","1,870","1,947",951,"2,564",689,359,230,"1,270",256,285,190,262,218,222,398,162,301,291,199,172,11
