,全体
食事施設,83.0
宿泊施設,70.4
観光施設,75.1
交通機関,77.3
おもてなし,86.5
"外国語
対応能力",34.9
案内標識,60.3
観光情報,59.7
両替,34.7
クレジットカード等,59.9
標本数,"13,069"
