,自分ひとり,夫婦・パートナー,家族・親族,職場の同僚,友人,その他,無回答,合計,標本数
全体,23.1,13.0,23.9,17.0,24.6,1.1,0.4,103.1,"13,045"
韓国,27.4,5.0,16.9,23.7,26.0,2.1,0.2,101.4,"1,771"
台湾,16.6,14.2,34.0,13.9,24.5,0.6,0.3,104.0,"2,059"
中国,19.2,11.5,29.9,18.8,21.6,0.8,0.8,102.6,"2,665"
香港,26.2,19.6,24.8,6.3,24.3,0.6,0.4,102.3,802
タイ,15.0,14.4,27.4,17.7,29.6,0.3,0.6,104.9,700
シンガポール,23.1,15.2,31.3,9.1,22.3,0.3,1.1,102.4,355
マレーシア,25.1,12.7,33.2,16.3,13.5,0.8,0.0,101.6,263
米国,34.3,18.9,13.7,10.9,23.5,1.4,0.4,103.2,"1,298"
カナダ,29.2,21.2,20.5,2.5,28.7,0.4,0.4,102.8,278
英国,39.1,24.4,6.5,12.0,15.8,3.0,0.3,101.0,307
ドイツ,46.7,13.9,10.3,13.4,17.1,0.0,0.5,101.9,212
フランス,37.3,24.1,11.9,8.8,18.9,0.3,0.7,102.1,300
イタリア,31.3,28.4,12.0,7.2,21.5,0.0,0.5,101.0,198
スペイン,19.1,40.4,17.3,6.5,18.9,0.0,0.0,102.2,204
オーストラリア,23.1,30.9,18.5,3.2,25.7,0.8,0.7,102.9,484
インド,45.6,8.6,7.3,26.9,11.0,1.1,0.0,100.6,174
インドネシア,13.1,12.4,28.9,21.0,24.8,0.7,0.8,101.8,251
フィリピン,25.8,16.1,31.8,11.1,17.0,1.0,0.6,103.4,335
ベトナム,26.6,5.1,13.7,38.5,15.0,3.4,0.6,102.8,179
ロシア,36.6,17.5,17.8,10.3,18.2,2.0,0.7,103.0,169
その他,20.8,30.4,0.8,17.0,48.6,0.0,0.0,117.6,41
