,観光・レジャー,親族・知人訪問,ビジネス,その他,無回答,合計,標本数
全体,73.5,5.1,16.6,4.8,0.0,100.0,"12,893"
韓国,66.9,6.1,21.5,5.6,0.0,100.0,"1,871"
台湾,82.4,4.1,9.7,3.7,0.0,100.0,"1,951"
香港,83.4,3.3,11.3,2.0,0.0,100.0,953
中国,74.4,4.4,15.8,5.4,0.0,100.0,"2,571"
タイ,83.4,5.1,7.0,4.5,0.0,100.0,692
シンガポール,83.9,3.6,11.5,1.0,0.0,100.0,360
マレーシア,74.8,2.6,20.0,2.7,0.0,100.0,234
米国,62.9,7.2,25.9,4.0,0.0,100.0,"1,275"
カナダ,74.5,3.9,16.9,4.7,0.0,100.0,256
英国,64.7,6.7,27.1,1.5,0.0,100.0,286
ドイツ,57.8,9.0,29.7,3.5,0.0,100.0,190
フランス,65.1,10.6,20.2,4.1,0.0,100.0,263
イタリア,59.0,5.3,30.7,5.1,0.0,100.0,220
スペイン,73.9,2.3,20.6,3.1,0.0,100.0,222
オーストラリア,86.3,2.6,9.2,1.9,0.0,100.0,400
インド,24.7,5.3,65.2,4.8,0.0,100.0,168
インドネシア,76.8,4.4,13.0,5.8,0.0,100.0,305
フィリピン,73.0,12.1,11.3,3.6,0.0,100.0,293
ベトナム,50.4,9.1,32.1,8.4,0.0,100.0,200
ロシア,55.9,4.5,32.7,6.9,0.0,100.0,172
その他,65.7,5.6,17.2,11.6,0.0,100.0,11
