,,韓国 ,台湾,中国 ,香港 ,タイ ,シンガポール,マレーシア,米国,カナダ ,英国,ドイツ ,フランス,イタリア,スペイン,オーストラリア ,インド,インドネシア,フィリピン ,ベトナム,ロシア ,その他
期待した場所,東京駅周辺・丸の内・日本橋,4.9,6.7,2.8,4.8,5.5,5.7,4.2,6,4.5,6,10.3,1,6.8,4.8,5.8,4.3,3.8,6.7,4.7,7.6,11.3
,秋葉原,13.6,8.7,18.3,11.7,8.3,8.3,11.2,14.5,12.4,6.9,12.5,14.4,10.9,18.4,10.5,19.8,8.9,11.3,13.8,8.4,20.5
,銀座,5.5,6,29.3,9.6,6,10.9,12.4,8,7.9,8.4,5.2,6.6,14,10.3,6.2,10.7,15.9,9.6,14.9,11.7,0
,築地,1.7,5.8,2.6,8.9,5,8.5,3.7,6.7,9.7,3.5,5.2,2.5,7.1,8.7,5.1,2.3,2.2,2.9,1.1,2.5,18
,原宿・表参道・青山,10,9.3,4.4,11.6,10.3,8.6,4.7,8.7,7.3,13.4,4.5,8.6,3.6,5.3,9.5,2.7,10.8,4.7,5,1.6,4.6
,渋谷,9.9,4.9,4.3,8.6,17.5,10.5,12,15.3,15.2,22.3,24.2,22.3,18.8,17.3,27.5,7.8,19.4,24.1,12,18.3,15.9
,六本木・赤坂,4.6,2.8,1.7,2.8,1,3.1,0.9,5.3,3.4,4.6,2.9,1.8,2.4,0.5,3,4.5,1.4,1.5,0,5.9,4.6
,新宿・大久保,15.2,9.1,9.5,14.1,15.7,10.4,17.7,10.9,14.7,13.5,5.9,10.4,8.4,6.5,15.2,7.3,10.5,14.2,14.2,5,4.6
,恵比寿・代官山,1.4,0.9,0.4,0.9,0,0.3,0,0.6,0.5,0.4,1.5,0.9,1.2,0.7,0.7,0,0,0,0,0,0
,池袋,3.6,3.5,2.6,4.2,1.4,3,0.8,1.5,1.7,1,0,0.4,2.8,1,0.7,0,1.7,1.9,0.8,0,0
,上野,2.7,6.7,3.7,5.8,7.1,10.2,7.9,3.1,4.6,3.6,4.4,5.8,3.9,2.8,3.1,4.5,3.9,4.3,1.8,3.3,0
,浅草,6.1,14.8,9.2,7.2,10,8.7,12.5,9.2,10.8,6.3,11.1,18.1,11.9,11.2,6.8,16.3,11.1,6.3,8.3,9.3,10.2
,墨田・両国,0.7,1.6,0.9,1.1,1.1,1.8,0.9,0.8,1.1,1.8,2.2,0.9,0,2.1,1.3,1.4,1.1,1.5,1,0,0
,新橋・汐留,1.4,0.7,0.6,0.3,0.5,1.1,1,1,0.6,1.8,2.2,1,1,0.7,1.2,1.8,1.4,0.8,1.9,1.6,0
,品川,1.2,0.8,0.7,0.2,1.1,0.8,4.6,1.4,1.7,2.3,2.2,0,1.7,0,0.3,6.6,0.5,0.7,0.8,1.6,10.2
,蒲田,0.1,0.1,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.7,0.4,0,0.8,0
,お台場・東京湾,14.3,9.4,4.6,5,5.8,5.9,2.3,4,2.3,1.5,2.9,2.4,3.1,6.4,1.2,6.4,5.7,5.1,13.6,11.6,0
,吉祥寺・三鷹,0.7,4.7,1.2,1.6,0.2,0.3,1.4,0.1,0,0.9,0.8,0,0,0,0.5,0,0.5,0.7,0,1.7,0
,八王子・高尾山,0.2,1,0.6,0.7,0.5,1.4,1,0.7,0,1.3,0.7,0.4,1,0.5,0.5,0.9,0.5,0.8,1.1,0,0
,青梅・御岳山,0.1,0.1,0.1,0.3,1.5,0.5,0.4,0.1,0,0,0,0.4,0,2.1,0,0,0,0.7,0.8,0.9,0
,奥多摩,0.2,0.1,0.1,0,0,0,0,0,0.6,0,1.4,0,0,0,0,0,0,0,0,0,0
,伊豆諸島・小笠原諸島,0.2,1.2,1.5,0.2,0.2,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0.4,0,4.1,0
