,全体,韓国,台湾,中国,香港,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他,
日本食を楽しむ,87.7,84.4,89.0,83.5,94.0,92.9,95.9,90.2,95.8,95.9,93.8,96.2,94.9,88.7,93.7,97.1,72.0,90.3,98.2,86.6,87.2,86.7,
日本食以外の料理を楽しむ,21.9,11.4,21.0,17.6,24.9,20.5,36.9,31.0,48.8,54.3,58.6,41.4,30.4,27.8,41.1,56.1,48.5,29.7,33.0,29.5,30.9,30.2,
電気製品のショッピング,22.2,10.1,29.0,37.5,17.6,13.8,17.6,22.9,8.9,11.2,9.7,10.2,15.7,18.1,22.7,16.5,22.3,23.6,18.6,37.8,21.8,10.6,
服・服飾雑貨のショッピング,49.9,34.8,54.2,53.7,67.2,57.9,61.9,55.0,43.4,52.9,37.8,36.1,44.4,44.8,49.7,55.5,35.8,68.4,65.5,49.6,54.6,56.3,
日用雑貨等のショッピング,63.3,47.4,74.7,78.7,71.5,67.2,63.8,58.6,46.7,48.8,48.9,38.6,41.6,43.8,39.3,59.9,32.5,61.8,64.2,60.1,52.2,39.0,
その他のショッピング,29.5,25.9,31.3,25.8,35.8,40.3,37.6,38.6,38.8,39.7,31.0,34.9,33.9,43.0,44.9,34.4,29.0,41.3,41.1,20.1,31.1,16.1,
伝統文化の見学,9.0,6.0,4.2,7.6,6.5,11.9,6.5,8.0,17.7,16.0,12.5,13.5,26.7,20.3,27.0,21.4,5.3,11.9,7.3,23.0,30.3,31.8,
伝統文化の体験,6.6,4.1,3.2,3.8,4.5,10.1,9.0,8.3,21.6,15.5,23.1,20.0,21.7,18.1,26.6,20.7,12.4,11.5,9.7,12.3,15.5,13.7,
伝統建築の見学,50.5,28.0,56.9,53.8,45.9,54.7,57.4,59.2,68.1,75.3,70.4,70.0,74.2,77.4,83.7,76.0,46.1,66.1,64.6,64.0,70.5,77.5,
最新の日本文化に触れる,15.8,17.2,9.9,13.8,13.0,13.2,16.7,11.8,31.1,36.2,31.6,27.3,29.1,22.9,33.8,33.7,10.4,21.8,17.7,10.5,22.3,13.0,
高層ビル等の探索,59.8,44.9,63.9,59.5,59.8,60.0,63.9,71.8,71.4,80.4,72.4,70.3,77.0,79.7,85.5,79.5,64.0,76.5,79.5,62.0,81.3,81.2,
美術館・博物館の探索,15.3,10.6,13.6,10.3,16.2,17.2,16.1,15.2,26.1,28.3,35.3,31.8,38.5,31.1,28.9,35.2,14.4,24.6,23.4,8.8,40.0,37.3,
自然を感じる,20.8,11.7,21.6,15.6,21.6,26.9,27.8,22.3,32.5,35.7,37.0,32.6,36.4,41.9,37.8,39.2,17.2,26.1,29.0,21.4,39.8,58.2,
テーマパーク等で遊ぶ,12.8,15.5,13.7,6.8,10.8,15.4,16.2,15.0,15.2,19.4,16.7,11.1,14.4,10.5,17.8,22.2,9.5,20.5,20.8,13.3,26.4,16.5,
室内型施設で遊ぶ,9.1,9.7,4.6,2.5,6.8,6.1,10.0,6.6,21.9,31.4,27.3,18.4,31.0,19.6,23.8,29.6,3.9,5.7,11.5,4.4,9.5,36.1,
スポーツをする・観戦する,1.8,1.0,1.3,0.5,1.5,1.5,1.2,0.7,6.9,6.1,5.6,3.6,5.5,2.7,4.3,9.1,2.1,0.4,1.6,0.5,4.3,7.4,
スパ・エステ,5.0,8.3,1.3,0.8,3.2,2.8,4.3,4.3,7.1,8.8,9.9,6.4,7.3,9.0,9.9,8.5,6.9,2.1,7.8,0.0,12.2,27.9,
宿泊施設での滞在を楽しむ,30.8,17.2,45.8,27.7,46.8,21.1,29.3,28.0,27.5,33.0,44.6,20.9,24.2,24.5,26.7,43.7,32.5,28.2,29.4,11.7,31.3,56.3,
ナイトライフを楽しむ,15.5,10.4,10.8,6.8,14.6,18.4,24.8,26.4,40.8,42.3,39.5,30.8,41.3,42.2,48.1,51.7,22.0,23.0,26.4,19.0,21.7,40.8,
ウォーターフロント等の探索,6.4,8.0,8.0,5.5,5.9,4.7,3.7,4.5,6.1,5.4,5.0,3.4,4.7,4.3,4.3,9.8,4.3,10.8,4.8,4.9,5.0,0.0,
水辺などの探索,14.0,10.1,14.3,8.2,10.3,15.1,16.9,11.7,19.2,24.9,21.2,21.1,28.5,27.5,41.6,16.5,13.1,21.4,24.0,20.7,40.7,56.9,
夜景・ライトアップを楽しむ,14.0,15.3,11.4,5.7,14.4,9.8,20.2,11.6,24.4,31.3,24.2,18.8,30.4,34.1,47.5,25.0,16.4,23.7,20.8,17.4,36.3,35.3,
その他,13.2,18.0,10.5,11.6,10.0,5.6,12.1,15.9,16.2,12.5,24.2,18.9,14.8,12.9,11.8,8.9,27.6,12.1,8.8,11.3,13.0,11.8,
無回答,0.3,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,
標本数,"13,045","1,771","2,059","2,665",802,700,355,263,"1,298",278,307,212,300,198,204,484,174,251,335,179,169,41,
