,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体,11.3,12.3,76.4,0.0,100.0,"13,045"
韓国,7.2,4.8,88.1,0.0,100.0,"1,771"
台湾,13.6,23.5,62.9,0.0,100.0,"2,059"
中国,23.0,18.1,58.9,0.0,100.0,"2,665"
香港,2.1,12.1,85.8,0.0,100.0,802
タイ,9.5,16.9,73.5,0.0,100.0,700
シンガポール,3.2,2.3,94.4,0.0,100.0,355
マレーシア,5.5,6.7,87.7,0.0,100.0,263
米国,3.6,3.2,93.2,0.0,100.0,"1,298"
カナダ,1.8,2.4,95.8,0.0,100.0,278
英国,5.0,6.8,88.3,0.0,100.0,307
ドイツ,1.9,3.0,95.1,0.0,100.0,212
フランス,0.3,3.7,95.9,0.0,100.0,300
イタリア,4.0,7.5,88.4,0.0,100.0,198
スペイン,2.4,6.1,91.5,0.0,100.0,204
オーストラリア,1.4,4.3,94.3,0.0,100.0,484
インド,9.4,5.3,85.4,0.0,100.0,174
インドネシア,5.3,8.2,86.5,0.0,100.0,251
フィリピン,4.5,6.2,89.4,0.0,100.0,335
ベトナム,20.4,22.0,57.6,0.0,100.0,179
ロシア,6.8,7.3,85.9,0.0,100.0,169
その他,0.0,0.8,99.2,0.0,100.0,41
