,全体,韓国 ,台湾,中国 ,香港 ,タイ ,シンガポール,マレーシア,米国,カナダ ,英国,ドイツ ,フランス,イタリア,スペイン,オーストラリア ,インド,インドネシア,フィリピン ,ベトナム,ロシア ,その他
東京駅周辺・丸の内・日本橋,37.4,30.9,41.3,29.3,33.7,36.7,48,42.2,51.7,56,47.6,52.6,45.1,48.2,53.9,63.7,42.3,44.4,39.7,29.3,35.2,72.9
秋葉原,41.2,35.6,30.3,53.3,30.8,38,30.4,40.7,41.4,47.6,37.6,41.4,54.9,56.5,69.8,46.1,50.7,51,40.8,44.8,44.9,49.2
銀座,48.1,30.1,32.8,71.8,43.4,35.3,49.8,53.3,47.1,56.7,48,45.2,55.5,65.1,70.4,52.3,40.6,58.7,46.9,38.7,57.9,62.4
築地,18.3,6.1,26.1,13.3,34,22.2,27.4,17.4,26.9,34.1,15.9,17.7,23.9,35.8,47.3,24.4,10.1,14.2,17.4,8.7,12.4,30
原宿・表参道・青山,34.1,36.6,36.7,23.5,40.2,41.8,39.9,27.2,38.1,42.6,36.1,34.6,52.3,37.7,56.2,51.1,15.8,53.3,33.4,12.9,22.7,42.6
渋谷,43.9,48.4,32.8,27.6,43,61.8,53.3,53.3,61.3,66.3,59.7,70.9,76.7,79.7,84.2,78,37.8,73.7,68.7,27.9,58,81.2
六本木・赤坂,19.5,24.4,13.7,10.5,14.8,12,24.1,16.2,33.2,28.3,34.6,35.6,42.1,47.9,47,38.8,30.6,18.9,24.5,10.4,35.1,52
新宿・大久保,56.9,61.3,48.2,53.5,66.2,66.9,62.7,65.4,56.7,59.7,59.2,55.2,67.1,64.6,76.5,74.4,43,63.6,59.3,33.2,30.9,51.2
恵比寿・代官山,5.9,8.6,4.9,3.2,8.9,4.6,8,5.6,8.7,8.1,9.7,6.4,15.4,9.5,12.5,9.9,1.6,6.5,5,2.2,7.3,0
池袋,22.8,19.3,28.9,23.8,35,16.4,23.9,16.2,17.7,16.2,11.9,20.2,26.8,16.3,22.3,18.1,11,16.6,13.7,12.1,13,13.6
上野,36.8,28.2,48.5,28.9,38.2,52.8,36.1,38.2,29.2,38.8,34.1,42.3,61.6,59.5,63.2,39.1,24.1,31,38,24.1,34.5,72.8
浅草,48.2,35.8,57.1,56.6,37.3,49.2,41.1,53.5,42.4,49.4,35.3,52,67,59.1,69,44,40.4,59.5,41.8,29.9,38.3,47.9
墨田・両国,5.6,3.6,6.7,4.1,4.6,6.9,5.8,11.8,9.4,11.6,10.2,10.9,15.6,13.4,13,8.7,13.1,11.7,11.6,7.6,10.4,0
新橋・汐留,10.2,10.7,10,6.3,9.3,7.5,9.5,10.2,10.7,17.5,19.4,15.7,17.7,24.1,34.4,16.5,12.1,13.3,12.6,8.4,16.7,24
品川,11.4,8.5,8.3,10.1,8.5,8.1,15.8,21.6,21,16.2,20,19.8,18.6,15.6,20,20.4,25.3,18.9,15.6,11.2,13,26.2
蒲田,1.5,0.8,1.5,2,1.1,2.8,0.9,1.4,1.6,1.9,0.6,2,1.8,1,1,1.5,2.4,1.9,4.3,2.8,4.3,0
お台場・東京湾,28,37,36.6,24.3,19.8,25.2,20.8,21.1,18.8,22.9,19,22.6,31.2,26.3,43.9,14.7,24.9,30.5,27.6,21.6,30.7,8.4
吉祥寺・三鷹,5.1,3.9,12.4,3,5.2,2.1,3.5,3.2,1.9,2.7,1.8,2.5,5.5,5.2,2.1,2.6,1.7,2.5,2.1,0,3.1,9.4
八王子・高尾山,2.5,1.1,2.8,3,1.6,1.6,3.3,1.5,2.3,1.9,3,2.5,4.2,1.2,2.6,2.1,3.1,1.3,1.8,2.3,1.2,9.4
青梅・御岳山,0.4,0.3,0.4,0.1,0.4,1.6,0.6,0.3,1.3,0,0.3,0,1.3,0,2,0.6,0,0.4,0.3,1,0.6,0
奥多摩,0.6,0.8,0.9,0.5,0.5,1.3,1,0.7,0.5,0.8,0,2.4,1,1.2,0,0.2,0.5,0,0.3,0.5,1.3,0
伊豆諸島・小笠原諸島,0.8,0.3,1.3,1.5,0.5,0.7,0.9,0.7,0.4,0,0,1,1.1,1.2,2,0.2,0.5,0,0.6,0.5,1.9,0
その他,4,4,4,2.6,3.5,1.7,2.1,3.5,5.7,4.7,4.5,4.4,6.8,3.7,2.8,4.1,8.2,2.5,4.1,4,6.1,16.5
無回答,0.2,0.3,0.2,0.1,0,0.6,0.3,0,0.6,0.4,0.7,1,0.6,0,0,0,0.5,0.4,0,2.9,0.6,0
合計,483.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
標本,12959,"1,666","2,112","2,674",794,710,338,289,"1,336",258,312,203,290,204,217,487,160,215,340,178,162,14
