,観光・レジャー,親族・知人訪問,ビジネス,その他,無回答,合計,標本数
全体,69.5,5.3,21.4,3.7,0.1,100,"13,069"
韓国 ,62.1,7.1,27.3,3.4,0,100,"1,783"
台湾,82.4,3.1,11.1,3.4,0,100,"2,181"
中国,71.3,5.1,19.8,3.8,0,100,"2,333"
香港 ,76,2.4,19.9,1.5,0.2,100,727
タイ,76.7,5,12.5,5.6,0.1,100,838
シンガポール,76.1,2.5,18.9,2.2,0.3,100,409
マレーシア,54,3.6,36.3,6.1,0,100,285
米国,48.9,10.5,36.7,3.9,0,100,"1,356"
カナダ,71.3,4.2,21.1,3,0.3,100,284
英国 ,56.5,9.2,32.1,2.2,0,100,357
ドイツ,42.2,9.8,45.5,2,0.4,100,199
フランス,63,11.1,22.6,3.3,0,100,332
イタリア ,61.9,3.8,29.7,4.3,0.4,100,216
スペイン ,73.1,3.5,19,4,0.3,100,229
オーストラリア ,78.2,7.1,13,1.6,0.2,100,435
インド ,16.8,7.2,65.9,10.1,0,100,160
インドネシア ,49.1,5,36.3,8.3,1.3,100,217
フィリピン ,71.1,11.1,14.3,3.4,0,100,241
ベトナム ,49.6,4.9,29.5,15.5,0.5,100,193
ロシア ,54.7,7,28.2,10.1,0,100,175
その他 ,59.5,4.2,29.8,6.5,0,100,119
