,男性,女性,無回答,合計,標本数
全体,56.7,41.7,1.6,100,"13,321"
韓国 ,64.6,32.1,3.3,100,"2,707"
台湾 ,45.9,53.5,0.6,100,"2,876"
中国 ,54.5,44.4,1.1,100,"2,617"
香港 ,51.4,48.1,0.5,100,"1,003"
タイ ,40.7,56.6,2.7,100,646
シンガポール ,53.8,44.3,1.9,100,219
マレーシア ,57.5,41.3,1.2,100,212
米国 ,68.2,29.7,2.1,100,694
カナダ ,62.1,35.5,2.4,100,150
英国 ,64.9,31.7,3.4,100,206
ドイツ ,76.2,22,1.7,100,127
フランス ,65.1,33.6,1.3,100,160
イタリア ,69.4,26,4.6,100,78
スペイン ,57.3,39.9,2.8,100,63
オーストラリア ,65.6,33.6,0.8,100,292
インド,88,10.1,1.9,100,71
インドネシア ,65.4,32.2,2.5,100,144
フィリピン ,47.4,50.5,2.2,100,170
ベトナム,57.9,36.5,5.6,100,118
ロシア,55.4,38.4,6.2,100,48
その他 ,73.1,26.9,0,100,720
