,訪問した,訪問しなかった,合計,標本数,
全体 ,89.5 ,10.5 ,100,14744,
韓国 ,90.2 ,9.8 ,100,1853,
台湾,91.9 ,8.1 ,100,2302,
中国 ,92.8 ,7.2 ,100,2881,
香港 ,94.5 ,5.5 ,100,840,
タイ ,84.5 ,15.5 ,100,840,
シンガポール,87.7 ,12.3 ,100,384,
マレーシア,84.5 ,15.5 ,100,343,
米国,80.2 ,19.8 ,100,1670,
カナダ ,80.3 ,19.7 ,100,322,
英国,84.8 ,15.2 ,100,368,
ドイツ ,81.2 ,18.8 ,100,250,
フランス,91.9 ,8.1 ,100,315,
イタリア,90.5 ,9.5 ,100,226,
スペイン,95.0 ,5.0 ,100,231,
オーストラリア ,92.5 ,7.5 ,100,527,
インド,70.9 ,29.1 ,100,227,
インドネシア,81.0 ,19.0 ,100,266,
フィリピン ,79.5 ,20.5 ,100,429,
ベトナム,78.1 ,21.9 ,100,226,
ロシア ,70.9 ,29.1 ,100,228,
その他,79.5 ,20.5 ,100,16,
