,"必ず
来たい",来たい,"やや
来たい","何とも
言えない","あまり
来たくない",来たくない,"絶対
来たくない",無回答,合計,標本数
全体,51.1,36.8,6.4,3.5,0.6,0.8,0.1,0.7,100.0,"13,045"
韓国,29.7,51.1,10.5,6.7,0.8,0.7,0.1,0.5,100.0,"1,771"
台湾,59.1,34.3,3.6,1.8,0.5,0.3,0.0,0.3,100.0,"2,059"
中国,54.5,33.7,5.3,4.0,0.8,0.9,0.1,0.7,100.0,"2,665"
香港,62.8,29.5,4.5,2.0,0.8,0.2,0.0,0.2,100.0,802
タイ,56.3,37.4,3.1,1.8,0.0,0.4,0.1,0.8,100.0,700
シンガポール,56.5,34.2,7.0,1.8,0.3,0.3,0.0,0.0,100.0,355
マレーシア,54.9,38.9,3.8,0.8,0.4,0.4,0.4,0.4,100.0,263
米国,66.9,24.9,5.0,1.7,0.9,0.3,0.0,0.4,100.0,"1,298"
カナダ,60.6,29.0,7.2,2.5,0.3,0.4,0.0,0.0,100.0,278
英国,64.2,24.4,7.5,2.3,0.3,0.6,0.0,0.7,100.0,307
ドイツ,56.0,29.9,9.4,4.1,0.0,0.0,0.0,0.6,100.0,212
フランス,57.3,33.0,6.3,1.4,0.0,0.7,0.0,1.4,100.0,300
イタリア,43.3,34.5,14.8,2.7,2.2,1.4,0.0,1.1,100.0,198
スペイン,56.8,28.3,9.8,4.8,0.3,0.0,0.0,0.0,100.0,204
オーストラリア,63.6,26.5,7.3,1.3,0.7,0.2,0.2,0.2,100.0,484
インド,64.6,32.1,0.5,2.2,0.6,0.0,0.0,0.0,100.0,174
インドネシア,62.4,33.1,3.7,0.5,0.0,0.0,0.0,0.3,100.0,251
フィリピン,74.6,23.5,1.3,0.0,0.0,0.0,0.3,0.3,100.0,335
ベトナム,56.4,36.9,2.8,2.2,0.6,0.0,0.0,1.1,100.0,179
ロシア,66.3,23.6,7.1,2.5,0.0,0.5,0.0,0.0,100.0,169
その他,56.7,23.3,8.2,0.0,0.0,5.9,0.0,5.9,100.0,41
