,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体,10.3 ,17.6 ,72.0 ,0.1 ,100 ,"13,069 "
韓国,6.4 ,5.3 ,88.1 ,0.2 ,100 ,"1,783 "
台湾,9.6 ,26.7 ,63.6 ,0.1 ,100 ,"2,181 "
中国,20.4 ,27.3 ,52.3 ,0.0 ,100 ,"2,333 "
香港,5.9 ,19.1 ,74.9 ,0.0 ,100 ,727 
タイ,9.8 ,18.7 ,71.0 ,0.4 ,100 ,838 
シンガポール,4.5 ,7.4 ,88.2 ,0.0 ,100 ,409 
マレーシア,7.0 ,11.8 ,81.2 ,0.0 ,100 ,285 
米国,3.7 ,4.5 ,91.7 ,0.1 ,100 ,"1,356 "
カナダ,3.3 ,7.4 ,89.3 ,0.0 ,100 ,284 
英国,1.9 ,8.4 ,89.7 ,0.0 ,100 ,357 
ドイツ,1.1 ,2.0 ,96.9 ,0.0 ,100 ,199 
フランス,3.0 ,7.1 ,89.6 ,0.3 ,100 ,332 
イタリア,8.7 ,7.6 ,83.2 ,0.6 ,100 ,216 
スペイン,3.7 ,12.3 ,84.0 ,0.0 ,100 ,229 
オーストラリア,2.9 ,7.9 ,89.2 ,0.0 ,100 ,435 
インド,2.5 ,4.4 ,93.1 ,0.0 ,100 ,160 
インドネシア,9.9 ,9.5 ,80.6 ,0.0 ,100 ,217 
フィリピン,3.0 ,8.0 ,89.0 ,0.0 ,100 ,241 
ベトナム,8.0 ,37.3 ,52.5 ,2.2 ,100 ,193 
ロシア,6.7 ,5.6 ,87.7 ,0.0 ,100 ,175 
その他,1.9 ,6.6 ,91.5 ,0.0 ,100 ,119 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
