,男性,女性,無回答,合計,標本数
全体,54.4 ,44.3 ,1.3 ,100.0 ,"13,069 "
韓国,62.8 ,35.7 ,1.5 ,100.0 ,"1,783 "
台湾,48.9 ,50.2 ,0.8 ,100.0 ,"2,181 "
中国,47.9 ,51.6 ,0.5 ,100.0 ,"2,333 "
香港,49.0 ,49.6 ,1.4 ,100.0 ,727 
タイ,42.5 ,54.9 ,2.6 ,100.0 ,838 
シンガポール,47.2 ,50.5 ,2.4 ,100.0 ,409 
マレーシア,54.4 ,42.1 ,3.5 ,100.0 ,285 
米国,65.4 ,32.0 ,2.6 ,100.0 ,"1,356 "
カナダ,60.3 ,35.9 ,3.8 ,100.0 ,284 
英国,64.6 ,32.1 ,3.3 ,100.0 ,357 
ドイツ,71.4 ,27.1 ,1.5 ,100.0 ,199 
フランス,66.7 ,31.7 ,1.6 ,100.0 ,332 
イタリア,67.0 ,30.9 ,2.1 ,100.0 ,216 
スペイン,70.0 ,28.7 ,1.3 ,100.0 ,229 
オーストラリア,54.3 ,43.0 ,2.6 ,100.0 ,435 
インド,84.5 ,11.8 ,3.7 ,100.0 ,160 
インドネシア,64.3 ,34.4 ,1.4 ,100.0 ,217 
フィリピン,44.4 ,52.7 ,2.9 ,100.0 ,241 
ベトナム,58.1 ,37.1 ,4.8 ,100.0 ,193 
ロシア,48.4 ,47.5 ,4.1 ,100.0 ,175 
その他,77.5 ,21.4 ,1.1 ,100.0 ,119 
