,観光・レジャー,親族・知人訪問,ビジネス,その他,無回答,合計,標本数
全体,70.5,5.5,20.8,3.2,0.0,100.0,"13,045"
韓国,60.2,7.2,28.8,3.8,0.0,100.0,"1,771"
台湾,81.2,4.5,12.1,2.2,0.0,100.0,"2,059"
中国,72.8,4.9,18.9,3.4,0.0,100.0,"2,665"
香港,81.6,4.1,12.8,1.5,0.0,100.0,802
タイ,77.9,4.6,12.6,4.9,0.0,100.0,700
シンガポール,70.9,2.1,25.1,2.0,0.0,100.0,355
マレーシア,62.1,2.3,31.9,3.8,0.0,100.0,263
米国,59.7,8.5,28.1,3.7,0.0,100.0,"1,298"
カナダ,79.9,6.3,12.7,1.1,0.0,100.0,278
英国,59.0,6.1,33.5,1.3,0.0,100.0,307
ドイツ,49.5,10.0,38.7,1.8,0.0,100.0,212
フランス,61.9,10.7,25.1,2.3,0.0,100.0,300
イタリア,65.1,9.7,23.2,2.0,0.0,100.0,198
スペイン,82.7,4.0,12.3,1.0,0.0,100.0,204
オーストラリア,82.7,3.2,12.9,1.3,0.0,100.0,484
インド,26.6,2.2,64.4,6.8,0.0,100.0,174
インドネシア,74.3,2.2,18.9,4.6,0.0,100.0,251
フィリピン,69.2,16.6,12.3,1.9,0.0,100.0,335
ベトナム,51.1,5.5,25.9,17.5,0.0,100.0,179
ロシア,67.7,7.6,21.4,3.2,0.0,100.0,169
その他,69.6,0.8,26.5,3.1,0.0,100.0,41
