,東京駅周辺・丸の内・日本橋,秋葉原,銀座,築地,"原宿・
表参道・
青山",渋谷,"六本木・
赤坂","新宿
・大久保","恵比寿・
代官山",池袋,上野,浅草,墨田・両国,新橋・汐留,品川,蒲田,.お台場・東京湾,"吉祥寺・
三鷹","八王子・
高尾山","伊豆諸島・小笠原
諸島",その他
日本食を楽しむ,32.7 ,3.9 ,16.2 ,83.7 ,7.2 ,15.8 ,22.1 ,16.4 ,16.1 ,14.0 ,11.1 ,5.0 ,2.0 ,22.5 ,29.0 ,38.5 ,4.4 ,6.3 ,5.9 ,7.7 ,12.1 
日本食以外の料理を楽しむ,1.2 ,0.8 ,0.9 ,1.7 ,1.1 ,0.8 ,1.8 ,1.3 ,3.4 ,1.0 ,0.4 ,0.5 ,0.0 ,0.0 ,1.9 ,7.7 ,0.3 ,0.0 ,1.2 ,0.0 ,1.5 
電気製品のショッピング,0.2 ,36.2 ,3.0 ,0.4 ,0.9 ,1.8 ,0.0 ,5.7 ,2.3 ,4.5 ,1.4 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 
服・服飾雑貨のショッピング,4.8 ,5.6 ,36.2 ,0.9 ,44.6 ,32.3 ,5.3 ,17.3 ,21.8 ,18.0 ,6.7 ,2.0 ,0.0 ,0.0 ,3.7 ,15.4 ,9.6 ,6.3 ,2.4 ,0.0 ,10.6 
日用雑貨、化粧品、食品、菓子類のショッピング,4.8 ,6.8 ,19.5 ,0.9 ,9.9 ,11.7 ,3.5 ,17.5 ,6.9 ,18.5 ,14.5 ,2.3 ,0.0 ,4.2 ,6.5 ,0.0 ,7.4 ,4.8 ,0.0 ,0.0 ,6.1 
その他のショッピング,1.0 ,12.2 ,7.2 ,0.9 ,5.3 ,5.4 ,2.5 ,4.7 ,10.3 ,12.5 ,3.8 ,1.5 ,0.0 ,7.0 ,0.0 ,0.0 ,2.0 ,2.4 ,0.0 ,0.0 ,3.0 
伝統文化の見学,0.0 ,0.1 ,0.8 ,1.7 ,0.8 ,0.3 ,0.7 ,0.4 ,1.1 ,0.5 ,1.0 ,3.6 ,13.9 ,1.4 ,0.0 ,0.0 ,0.4 ,1.6 ,3.5 ,0.0 ,0.0 
伝統文化の体験,1.2 ,0.3 ,0.2 ,1.7 ,0.6 ,0.4 ,0.0 ,0.3 ,2.3 ,0.0 ,0.6 ,1.9 ,1.0 ,0.0 ,0.0 ,0.0 ,0.6 ,0.0 ,1.2 ,0.0 ,0.0 
伝統建築の見学,8.5 ,0.4 ,0.4 ,3.0 ,8.7 ,2.0 ,1.4 ,1.0 ,4.6 ,1.0 ,10.7 ,71.1 ,5.0 ,2.8 ,1.9 ,0.0 ,0.4 ,3.2 ,10.6 ,3.8 ,7.6 
最新の日本文化に触れる,0.2 ,20.8 ,0.1 ,1.7 ,4.1 ,3.1 ,4.6 ,1.5 ,1.1 ,10.5 ,0.6 ,1.2 ,0.0 ,1.4 ,0.0 ,0.0 ,1.6 ,6.3 ,0.0 ,0.0 ,4.5 
高層ビル、近代的な街並み・景観・建築物の探索,29.8 ,4.9 ,10.4 ,1.3 ,12.0 ,12.4 ,14.4 ,10.8 ,12.6 ,5.5 ,6.9 ,6.5 ,59.4 ,21.1 ,9.3 ,0.0 ,7.4 ,5.6 ,3.5 ,3.8 ,4.5 
美術館・博物館の探索,0.7 ,0.1 ,0.2 ,0.0 ,0.3 ,0.3 ,4.9 ,0.2 ,1.1 ,1.0 ,14.7 ,0.5 ,6.9 ,1.4 ,0.9 ,0.0 ,1.1 ,51.6 ,3.5 ,0.0 ,1.5 
ウォーターフロント、夜景などの探索,0.2 ,0.1 ,0.1 ,0.0 ,0.5 ,0.1 ,2.1 ,0.4 ,1.1 ,0.0 ,0.4 ,0.1 ,4.0 ,5.6 ,0.0 ,0.0 ,34.2 ,0.0 ,1.2 ,7.7 ,0.0 
自然を感じる,1.0 ,0.0 ,0.1 ,0.0 ,1.2 ,0.1 ,0.7 ,1.1 ,0.0 ,0.0 ,6.7 ,1.1 ,1.0 ,1.4 ,0.0 ,0.0 ,2.4 ,7.1 ,56.5 ,61.5 ,12.1 
テーマパーク、レジャー施設で遊ぶ,1.5 ,0.5 ,0.0 ,0.0 ,0.3 ,0.3 ,0.4 ,0.2 ,0.0 ,1.0 ,12.3 ,0.3 ,0.0 ,0.0 ,2.8 ,0.0 ,15.6 ,0.0 ,1.2 ,0.0 ,3.0 
室内型アミューズメント施設で遊ぶ,0.2 ,2.9 ,0.0 ,0.0 ,0.0 ,0.1 ,0.7 ,0.8 ,0.0 ,1.0 ,0.2 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.6 ,0.8 ,1.2 ,0.0 ,0.0 
スポーツをする・観戦する,0.2 ,1.0 ,0.0 ,0.0 ,0.2 ,0.1 ,0.0 ,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.2 ,0.0 ,3.0 
スパ・エステ,0.2 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,1.1 ,0.4 ,0.0 ,0.5 ,0.0 ,0.0 ,0.0 ,1.4 ,1.9 ,0.0 ,1.7 ,0.0 ,0.0 ,0.0 ,0.0 
宿泊施設での滞在を楽しむ,4.8 ,1.4 ,2.4 ,1.3 ,0.6 ,2.3 ,4.6 ,10.9 ,3.4 ,8.5 ,4.8 ,1.4 ,2.0 ,16.9 ,16.8 ,23.1 ,3.5 ,0.8 ,2.4 ,11.5 ,13.6 
ナイトライフを楽しむ,0.2 ,0.4 ,1.1 ,0.0 ,0.8 ,9.2 ,20.7 ,6.3 ,5.7 ,0.5 ,0.0 ,0.3 ,1.0 ,0.0 ,3.7 ,0.0 ,0.3 ,0.0 ,0.0 ,3.8 ,0.0 
その他,6.3 ,1.3 ,1.2 ,0.9 ,1.1 ,1.4 ,8.8 ,2.5 ,5.7 ,1.5 ,3.0 ,0.4 ,2.0 ,12.7 ,21.5 ,15.4 ,6.1 ,3.2 ,4.7 ,0.0 ,16.7 
合計,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
標本数,413,768,1017,233,664,736,285,990,87,200,495,961,101,71,107,13,707,126,85,26,66
