,地域や職場、学校などの団体旅行,パッケージツアー,ツアーは利用していない（個別手配）,無回答,合計,標本数
全体,9.4,11.8,78.8,0.0,100.0,"12,893"
韓国,4.8,4.3,90.9,0.0,100.0,"1,871"
台湾,5.8,18.4,75.7,0.0,100.0,"1,951"
香港,3.5,10.7,85.8,0.0,100.0,953
中国,18.4,16.9,64.7,0.0,100.0,"2,571"
タイ,12.5,17.9,69.5,0.0,100.0,692
シンガポール,2.6,4.0,93.4,0.0,100.0,360
マレーシア,8.3,8.8,82.9,0.0,100.0,234
米国,3.7,4.6,91.7,0.0,100.0,"1,275"
カナダ,0.8,3.1,96.1,0.0,100.0,256
英国,2.5,6.0,91.6,0.0,100.0,286
ドイツ,1.5,2.3,96.2,0.0,100.0,190
フランス,2.7,2.6,94.7,0.0,100.0,263
イタリア,6.6,11.3,82.1,0.0,100.0,220
スペイン,4.2,8.2,87.7,0.0,100.0,222
オーストラリア,0.8,6.2,92.9,0.0,100.0,400
インド,9.8,2.2,88.1,0.0,100.0,168
インドネシア,9.6,5.7,84.7,0.0,100.0,305
フィリピン,2.2,5.3,92.5,0.0,100.0,293
ベトナム,9.9,37.6,52.5,0.0,100.0,200
ロシア,8.5,3.4,88.1,0.0,100.0,172
その他,24.9,11.6,63.5,0.0,100.0,11
