,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体,4.5,10.2,17.9,16.4,34.7,10.3,1.6,3.8,0.7,100,"13,321"
韓国 ,3,11.3,23,25.2,25.3,6.1,1,4,1.1,100,"2,707"
台湾,3.3,7,14.8,15.2,49,7.7,0.6,2,0.3,100,"2,876"
中国,6.8,17.6,22.7,12.9,24.3,6.5,1.7,6.6,0.9,100,"2,617"
香港,1.9,7.3,16.1,17.2,47.6,7.4,0.5,1.9,0.2,100,"1,003"
タイ,6.4,12.9,22.5,16.3,27.2,10.2,1.5,2,1.1,100,646
シンガポール,2.5,8.2,14.7,15.3,41.2,15.9,1,0.9,0.3,100,219
マレーシア,9.5,8.5,13.9,10.2,41.2,12.9,1,2.5,0.3,100,212
米国,6.9,9.1,13.9,17.2,32.4,14.3,2.4,3,0.7,100,694
カナダ,4.3,8.5,11,15,30.8,24.3,3.2,2.5,0.2,100,150
英国,3.2,5.7,10.5,15.9,38.1,18.4,3.6,4.4,0,100,206
ドイツ,1.6,7.7,12.9,12.6,33.9,22.4,3.5,4.4,1.1,100,127
フランス,2.7,3.8,7,15.4,35.2,25,5.3,4.6,0.9,100,160
イタリア ,3.3,5.4,9,11.6,43.8,17.1,3.8,5,0.9,100,78
スペイン,3.1,3.6,5.3,18.2,39.5,22.6,3.2,4.6,0,100,63
オーストラリア,1.9,5.2,16.8,13.1,34.4,23.1,3.1,2.2,0.1,100,292
インド,15.2,3.4,11.7,9.2,24.6,16.7,7.6,11.2,0.5,100,71
インドネシア,7.6,15,15.8,14.4,32.2,9.3,1.7,2.7,1.2,100,144
フィリピン,10.5,4.7,4.3,12.2,43.8,17.3,1.5,4.6,1.1,100,170
ベトナム ,10.5,10.4,34.3,14.7,9,7.7,3,9.7,0.7,100,118
ロシア ,8.9,9.4,10.2,11.2,28.6,23.2,1.3,6.6,0.6,100,48
その他 ,3.8,3.3,9.1,5.9,39.4,28.4,4.6,4.6,0.9,100,720
