,日帰り,1泊,2泊,3泊,4～6泊,7～13泊,14～20泊,21泊以上,無回答,合計,標本数
全体,4.5 ,9.6 ,18.8 ,17.7 ,34.6 ,9.8 ,1.4 ,3.1 ,0.5 ,100.0 ,"13,069 "
韓国 ,2.8 ,9.3 ,22.2 ,26.3 ,30.6 ,4.9 ,0.8 ,2.6 ,0.5 ,100.0 ,"1,783 "
台湾,3.3 ,7.2 ,13.4 ,13.2 ,50.2 ,9.1 ,0.6 ,2.7 ,0.4 ,100.0 ,"2,181 "
中国,5.9 ,14.8 ,27.3 ,15.2 ,23.5 ,7.1 ,1.5 ,4.2 ,0.5 ,100.0 ,"2,333 "
香港,2.9 ,4.9 ,14.6 ,19.5 ,45.2 ,10.8 ,0.5 ,1.2 ,0.4 ,100.0 ,727 
タイ,6.6 ,7.2 ,20.0 ,22.1 ,30.5 ,8.9 ,1.5 ,2.1 ,1.1 ,100.0 ,838 
シンガポール,2.3 ,7.3 ,11.2 ,15.4 ,42.2 ,19.2 ,0.0 ,1.6 ,0.8 ,100.0 ,409 
マレーシア,7.8 ,6.5 ,16.7 ,15.9 ,36.3 ,13.3 ,2.3 ,0.7 ,0.4 ,100.0 ,285 
米国,7.0 ,8.7 ,12.4 ,15.0 ,35.5 ,15.5 ,2.2 ,3.2 ,0.5 ,100.0 ,"1,356 "
カナダ,8.4 ,5.5 ,10.2 ,17.2 ,32.8 ,22.7 ,1.7 ,0.7 ,0.7 ,100.0 ,284 
英国,4.4 ,4.7 ,10.1 ,15.1 ,38.8 ,21.0 ,3.9 ,1.6 ,0.5 ,100.0 ,357 
ドイツ,4.7 ,5.4 ,6.5 ,17.7 ,34.2 ,22.3 ,4.5 ,3.4 ,1.4 ,100.0 ,199 
フランス,4.0 ,3.7 ,9.5 ,12.2 ,30.6 ,26.6 ,6.9 ,6.2 ,0.3 ,100.0 ,332 
イタリア ,3.4 ,1.9 ,7.1 ,7.7 ,44.4 ,22.7 ,5.4 ,6.0 ,1.5 ,100.0 ,216 
スペイン,2.6 ,3.7 ,8.5 ,11.8 ,44.4 ,17.4 ,4.9 ,5.8 ,0.9 ,100.0 ,229 
オーストラリア,1.4 ,4.2 ,8.3 ,12.8 ,42.6 ,25.6 ,3.2 ,1.0 ,0.8 ,100.0 ,435 
インド,12.9 ,12.7 ,12.3 ,12.8 ,22.4 ,11.3 ,2.5 ,9.2 ,3.9 ,100.0 ,160 
インドネシア,6.9 ,9.1 ,15.9 ,18.1 ,32.3 ,14.1 ,0.4 ,1.8 ,1.4 ,100.0 ,217 
フィリピン,13.0 ,5.4 ,8.6 ,15.2 ,38.9 ,11.7 ,2.3 ,4.2 ,0.9 ,100.0 ,241 
ベトナム ,6.8 ,26.5 ,21.2 ,16.1 ,14.0 ,5.7 ,1.6 ,6.9 ,1.1 ,100.0 ,193 
ロシア ,5.8 ,8.9 ,5.8 ,14.3 ,28.8 ,22.1 ,3.4 ,10.2 ,0.6 ,100.0 ,175 
その他 ,3.6 ,9.1 ,9.7 ,15.7 ,34.6 ,20.1 ,2.9 ,4.3 ,0.0 ,100.0 ,119 
