,,韓国 ,台湾,中国 ,香港 ,タイ ,シンガポール,マレーシア,米国,カナダ ,英国,ドイツ ,フランス,イタリア,スペイン,オーストラリア ,インド,インドネシア,フィリピン ,ベトナム,ロシア ,その他,
満足した場所,東京駅周辺・丸の内・日本橋,4.5,6.1,3.1,4.8,4.1,5.6,3.2,6.4,3.7,5.4,6.1,2.3,1.5,5.0,6.4,5.5,1.8,4.7,6.0,7.4,11.3,0.1
,秋葉原,8.8,6.6,13.0,8.0,6.8,5.9,11.2,10.4,7.3,4.6,9.6,7.3,4.9,8.9,6.5,18.4,8.5,10.5,15.1,7.3,4.6,0.6
,銀座,5.1,5.2,25.2,8.9,5.6,8.0,12.3,8.8,10.1,8.7,6.2,7.4,10.3,5.3,6.3,9.9,15.6,9.1,13.8,13.2,0.0,0.7
,築地,1.5,3.7,1.4,8.1,3.4,7.1,2.9,6.4,6.9,2.1,3.9,2.4,6.8,7.7,2.9,1.9,2.6,2.6,1.9,1.5,0.0,0.2
,原宿・表参道・青山,9.5,8.4,5.2,10.9,9.2,8.2,4.4,8.1,8.7,9.0,6.2,7.2,4.7,9.9,9.4,1.0,10.5,6.4,6.1,1.4,0.0,0.2
,渋谷,9.7,5.2,3.3,9.2,17.2,10.2,9.3,13.1,7.4,17.2,18.6,17.5,16.8,13.2,24.8,5.3,17.1,21.3,9.9,19.1,9.2,0.4
,六本木・赤坂,4.4,2.6,1.6,2.6,1.5,3.9,0.8,5.6,1.4,6.4,3.4,5.1,5.4,3.3,3.5,5.7,1.7,1.7,1.4,5.9,4.6,0.4
,新宿・大久保,13.9,9.3,11.8,16.4,13.7,14.4,16.9,13.4,17.8,13.7,10.3,10.8,10.5,10.7,15.8,8.0,7.4,14.4,12.4,6.7,15.9,0.1
,恵比寿・代官山,1.2,1.0,0.5,1.2,0.2,0.9,0.5,0.6,0.4,2.8,1.1,0.7,0.9,1.4,1.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0
,池袋,2.7,5.4,4.6,6.2,2.6,4.2,1.1,1.4,2.3,2.7,1.1,2.3,2.6,0.9,1.1,0.0,1.1,2.4,0.7,0.7,0.0,0.0
,上野,5.0,9.6,5.1,5.9,10.4,7.7,6.6,4.7,7.4,4.5,5.6,7.7,9.2,4.4,6.5,4.7,4.3,6.5,4.3,5.1,4.6,0.0
,浅草,8.5,15.0,11.8,7.9,13.9,10.2,18.0,9.3,12.9,7.6,12.9,16.5,16.0,17.3,8.1,17.6,11.8,5.6,10.8,6.7,21.6,0.0
,墨田・両国,1.0,1.3,0.8,0.7,1.0,1.3,0.7,0.8,0.4,1.4,2.8,1.1,0.6,0.9,1.6,1.3,3.6,1.6,1.8,1.5,0.0,0.0
,新橋・汐留,1.1,0.8,0.7,0.7,0.6,0.9,0.4,1.5,2.8,2.6,1.7,0.8,1.9,0.0,1.1,3.8,1.2,1.8,3.3,2.2,0.0,0.0
,品川,1.8,1.0,1.2,0.4,1.2,0.8,3.1,1.8,1.8,2.6,2.8,1.1,1.3,0.0,1.1,6.6,2.1,0.6,1.4,1.4,10.2,0.0
,蒲田,0.1,0.2,0.3,0.0,0.3,0.0,0.0,0.5,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.6
,お台場・東京湾,17.6,11.6,7.1,5.5,6.2,7.1,5.2,3.5,4.6,4.4,3.9,6.9,3.1,8.6,1.1,7.2,9.1,8.2,8.8,14.7,0.0,0.0
,吉祥寺・三鷹,1.2,3.9,0.9,0.9,0.3,1.3,1.4,0.2,0.9,1.8,0.5,0.4,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.8,0.0,0.0
,八王子・高尾山,0.1,0.9,0.8,0.6,0.3,0.9,0.9,0.7,0.4,1.4,0.5,0.8,0.8,1.0,0.9,0.7,0.4,0.3,0.9,0.0,0.0,0.0
,青梅・御岳山,0.0,0.1,0.0,0.2,0.3,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.7
,奥多摩,0.1,0.2,0.1,0.2,0.2,0.3,0.0,0.3,0.5,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,伊豆諸島・小笠原諸島,0.1,0.6,0.7,0.2,0.2,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.7,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
