,全体,韓国 ,台湾,中国 ,香港 ,タイ ,シンガポール,マレーシア,米国,カナダ ,英国,ドイツ ,フランス,イタリア,スペイン,オーストラリア ,インド,インドネシア,フィリピン ,ベトナム,ロシア ,その他
日本食を楽しむ,87.2,86.1,87,81.5,93.8,90.3,93.4,88.9,96.1,94.6,94.9,95.1,96.2,87.4,97.7,97.8,69.3,94.4,96.8,80.7,85.6,89.6
日本食以外の料理を楽しむ,23.1,11.7,22.9,21.1,25.7,20,29.9,22.8,44.9,49.2,58.2,45.8,26,27.9,22.2,59,49.6,38.9,30.1,22.7,25.9,23
電気製品のショッピング,24.1,11.9,30.4,40.9,17.8,14.8,13.6,11.4,9.7,8.4,12,8.8,10.4,16.5,16.8,17.6,26.7,24.9,16.3,37.6,16.7,12.6
服・服飾雑貨のショッピング,50.8,36,58,55.9,69.2,58.8,59.8,52.4,44.9,51.2,44.7,38,47.5,39.5,37,62.6,38.6,63.4,63.6,50,45,17.8
日用雑貨等のショッピング,66.3,49.5,77.2,81.1,72.3,67.8,61.1,58.1,49.9,54.7,55.3,41.3,46,44.1,47.8,66.6,28.9,59.4,58.6,53.2,51.3,50.8
その他のショッピング,29.9,28.5,28,27.4,27.4,43.1,35.6,36.7,40,36.8,35.9,36.1,34,33.1,42.7,35.2,35.9,35.1,41.4,24.7,29.7,26.9
伝統文化の見学,9.6,7.3,5.5,10.6,4.7,19.1,5.1,4.2,17.9,16.7,14.6,15.2,31.4,20.5,35.5,21.7,7.1,15.1,6.5,24.2,23.9,4.2
伝統文化の体験,6.6,3.7,3.7,4.9,4.9,12.7,4.8,6,21.4,21,21.5,24.1,26.9,23.7,29.1,17.8,13.4,11.4,4.9,11.9,16.6,0
伝統建築の見学,53.7,31.5,59.6,59.4,40.6,54.9,56.9,59.4,69.2,75.3,74.1,70.3,78.8,80.3,90.2,84.3,51,66.7,63.2,46.5,70.3,67.6
最新の日本文化に触れる,18.5,19.2,14.5,15.9,12.9,18.2,15.9,11.4,31.7,31.8,31.2,27.1,28.7,19.5,36.6,35,11.2,29.6,13.3,12.1,25.9,31.1
高層ビル等の探索,60.7,44,64.9,61.9,57.6,56.6,55.5,66.7,71.2,78,79.4,74.1,75.9,80.6,86.7,83.1,68,77.4,75.1,67.9,77.7,81.2
美術館・博物館の探索,15.8,11.7,18.7,11.3,15.1,17.9,15.2,13.6,28.6,29.9,35.2,28.6,40.4,34.2,24.6,41.5,16.7,22.7,16.4,11.4,29,8.4
ウォーターフロント等の探索,23.3,24.2,29.3,18.8,18.5,16.1,16.9,16.5,27.5,35.3,27.8,30,36.8,31.9,51.6,30.1,22.9,28.7,25.8,24,35.1,18.8
自然を感じる,18.9,13.5,19.7,14.9,16.7,27.2,18.1,10.6,30.2,33,33.4,30.9,37.2,34.7,37.7,29.3,17.8,17.6,21.8,13.1,21.5,40.4
テーマパーク等で遊ぶ,18.5,18.8,25.2,11.3,16.3,20.6,20.6,14.9,17.2,20.6,22.6,13.3,27.4,24.6,20.8,30.7,15.4,23.8,27.5,14.1,34.5,29.1
室内型アミューズメント施設で遊ぶ,9.2,11,6.2,4.3,7.1,5.7,9.7,3.4,20.3,20.5,24,18.7,31.7,15.7,20.5,29.8,5,4.3,11.3,4.4,12.3,18.8
スポーツをする・観戦する,2,1.5,1.7,0.7,0.9,0.8,1.7,1.8,6.8,3.9,7.7,3.9,7.6,2.7,3.7,9.6,4.9,1.2,2.9,1,4.3,4.2
スパ・エステ,5.1,8.2,2,1.8,3.5,4.1,4.6,2.2,10.4,12.8,9,7.3,14,12.4,8.1,10.3,7.9,2.7,5.4,2.6,9.3,14.6
宿泊施設での滞在を楽しむ,29.2,16.6,38.1,30,40.2,22.1,32.7,30.8,31,36.8,41.4,25.5,24.5,29.6,28.6,42.5,30.8,25.1,23.7,16.5,30.7,30.2
ナイトライフを楽しむ,14.5,9.6,10.3,8.3,13,18.2,18.9,17.4,39.2,38.3,38.6,32.4,46.5,44.1,41.3,56.1,17.5,17.8,20.3,21.6,14.8,16.5
その他,12.6,19.5,8.7,11.4,11.5,5.8,11.8,12.8,15.3,10.4,20.8,22.1,13.3,9.3,8.4,5.1,21.4,14.4,7.3,16.9,11.8,4.2
無回答,0.1,0.1,0,0,0,0.3,0,0,0.1,0.4,0,1,0.6,0.5,0,0,0,0,0,0,0,0
合計,579.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
標本数,12959,"1,666","2,112","2,674",794,710,338,289,"1,336",258,312,203,290,204,217,487,160,215,340,178,162,14
