,全体,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,米国,カナダ,英国,ドイツ,フランス,イタリア,スペイン,オーストラリア,インド,インドネシア,フィリピン,ベトナム,ロシア,その他
日本食を楽しむ,89.5,89.0,88.2,93.2,86.3,91.1,95.9,93.5,95.6,97.2,96.4,94.8,95.6,88.4,96.1,98.1,66.4,91.9,91.5,88.6,87.8,94.4
日本食以外の料理を楽しむ,23.6,12.4,24.7,24.9,22.6,20.2,34.0,27.0,43.5,44.2,58.1,45.8,22.7,28.8,28.7,57.7,40.5,38.9,25.1,20.4,20.7,35.2
電気製品のショッピング,24.2,9.9,28.7,19.0,40.3,16.0,15.4,21.8,10.2,7.4,18.5,13.9,18.4,22.4,17.5,20.2,23.4,23.8,16.4,39.0,16.3,29.2
服・服飾雑貨のショッピング,52.4,39.6,58.3,64.6,53.9,59.1,62.7,63.4,43.0,51.9,49.2,39.4,51.2,46.0,48.6,62.0,44.9,72.1,65.6,54.0,43.9,65.7
日用雑貨等のショッピング,66.8,53.0,76.1,75.4,80.7,68.2,61.6,57.5,45.4,47.7,59.3,44.4,48.3,43.4,42.4,60.5,35.9,69.5,54.4,67.3,55.3,53.2
その他のショッピング,32.5,26.9,31.2,33.1,34.2,38.5,41.9,34.2,38.0,46.6,37.4,39.1,31.6,46.9,42.1,42.9,24.1,44.3,41.6,26.7,37.3,22.7
伝統文化の見学,8.3,5.5,5.0,4.8,10.1,13.5,5.1,8.6,11.8,15.2,13.5,17.3,29.5,20.4,25.0,13.7,7.9,12.6,6.1,13.2,23.1,5.6
伝統文化の体験,7.2,3.8,3.3,6.3,4.7,11.9,7.5,10.7,19.7,25.9,18.9,22.5,26.4,19.8,26.3,21.6,13.4,11.1,9.8,4.3,13.2,22.7
伝統建築等の見学,50.2,28.1,56.7,45.9,54.8,51.7,58.8,63.9,66.4,75.6,74.1,67.7,77.4,67.3,83.0,71.5,56.8,67.8,60.7,69.1,59.4,58.3
最新の日本文化に触れる,20.3,21.3,15.2,13.7,17.9,18.0,21.0,16.6,31.3,34.4,34.1,33.3,29.7,31.9,26.5,35.9,11.4,20.5,20.8,7.7,24.2,47.6
高層ビル等の探索,57.8,45.1,60.5,52.8,56.5,56.8,64.4,74.8,68.8,72.2,77.8,76.1,79.2,80.8,83.2,80.8,72.1,78.3,78.4,75.6,73.0,77.3
美術館・博物館の探索,17.3,14.4,17.1,17.3,14.0,18.0,17.1,12.1,28.5,36.3,34.3,33.5,44.0,33.7,37.0,38.3,18.6,18.7,15.8,11.4,26.0,18.0
水辺などの探索,17.2,18.2,19.4,13.3,9.1,18.2,19.1,23.1,25.1,27.0,29.4,29.3,27.7,34.1,44.3,28.3,26.5,32.1,30.9,20.1,35.1,23.6
自然を感じる,20.8,12.1,25.1,23.8,17.2,21.6,26.4,23.3,32.1,38.2,38.5,41.4,46.7,39.6,36.1,35.3,23.1,28.7,24.5,15.5,25.5,36.1
テーマパーク等で遊ぶ,13.2,15.3,11.7,11.9,8.3,16.9,20.6,19.9,14.0,16.4,18.3,12.6,21.5,16.6,16.0,26.5,16.5,19.2,18.9,8.9,26.7,24.0
室内型施設で遊ぶ,8.9,9.9,6.1,8.6,3.4,6.6,11.2,7.1,21.3,28.1,32.9,27.0,35.2,21.1,28.6,34.0,6.0,7.9,13.5,2.0,15.6,5.6
スポーツをする・観戦する,2.3,1.6,2.3,2.3,1.1,0.9,3.8,2.3,7.9,8.1,5.9,5.8,6.8,6.3,6.7,10.1,2.2,2.8,3.1,1.6,4.3,0.0
スパ、エステ,5.2,9.5,2.1,3.6,1.6,3.4,4.5,1.5,8.4,7.8,8.0,8.2,14.5,9.6,12.0,10.6,5.2,2.8,4.8,0.4,8.8,18.0
宿泊施設での滞在を楽しむ,33.3,20.1,48.9,38.8,38.0,22.2,34.0,30.8,26.0,32.4,35.7,25.7,27.4,24.3,26.1,40.4,29.9,23.2,26.2,13.2,25.7,47.2
ナイトライフを楽しむ,16.3,9.6,14.3,13.4,11.3,18.6,26.1,25.1,36.9,43.3,48.8,35.2,46.6,40.3,42.3,47.3,19.6,24.0,19.6,27.2,14.3,28.3
夜景・ライトアップを楽しむ,20.4,24.1,19.7,20.4,12.0,16.7,20.5,19.2,28.8,32.6,34.8,38.5,38.3,35.7,45.2,35.6,17.8,29.0,22.7,17.9,36.9,30.5
その他,11.8,16.9,8.4,8.4,9.6,5.1,10.8,9.7,15.6,12.5,14.1,23.3,9.3,12.5,9.2,11.1,21.0,8.4,9.3,9.2,15.5,22.7
無回答,0.2,0.0,0.2,0.0,0.4,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
標本数,"12,893","1,871","1,951",953,"2,571",692,360,234,"1,275",256,286,190,263,220,222,400,168,305,293,200,172,11
